,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.265 / 1.313 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.291 / 2.463 / 99 / 99,1.539 / 1.596 / 99 / 99
1,1-1,1.221 / 1.476 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.755 / 2.057 / 99 / 99,1.042 / 1.192 / 99 / 99
2,1-2,1.390 / 1.748 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.814 / 2.277 / 99 / 99,1.305 / 1.558 / 99 / 99
3,1-3,1.089 / 1.226 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.270 / 1.683 / 99 / 99,1.121 / 1.226 / 99 / 99
4,1-4,1.636 / 1.722 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.675 / 2.065 / 98 / 99,1.544 / 1.680 / 99 / 99
5,1-5,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.330 / 1.548 / 99 / 99,1.207 / 1.207 / 99 / 99
6,1-6,1.315 / 1.839 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.033 / 2.428 / 99 / 99,1.501 / 1.839 / 99 / 99
7,2-0,1.307 / 1.472 / 49 / 49,-1.000 / -1.000 / 0 / 65,1.350 / 1.403 / 53 / 53,1.304 / 1.590 / 55 / 55
8,2-1,1.393 / 1.757 / 28 / 28,-1.000 / -1.000 / 0 / 60,1.444 / 1.962 / 39 / 48,1.450 / 1.757 / 52 / 52
9,2-2,1.166 / 1.529 / 40 / 40,-1.000 / -1.000 / 0 / 56,1.157 / 1.451 / 50 / 50,1.144 / 1.174 / 62 / 62
10,2-3,2.107 / 2.515 / 51 / 51,-1.000 / -1.000 / 0 / 20,2.508 / 3.137 / 56 / 56,2.414 / 2.649 / 55 / 55
11,2-4,1.304 / 1.481 / 46 / 46,-1.000 / -1.000 / 0 / 41,1.390 / 1.481 / 31 / 31,1.338 / 1.481 / 48 / 48
12,2-5,1.030 / 1.502 / 48 / 48,-1.000 / -1.000 / 0 / 42,1.576 / 2.229 / 30 / 30,1.131 / 1.502 / 84 / 84
13,2-6,1.028 / 1.385 / 45 / 45,-1.000 / -1.000 / 0 / 40,0.939 / 1.538 / 46 / 46,0.875 / 0.875 / 33 / 33
14,2-7,1.277 / 1.950 / 66 / 66,-1.000 / -1.000 / 0 / 33,1.290 / 1.611 / 46 / 46,1.611 / 1.611 / 69 / 69
15,2-8,1.179 / 2.123 / 42 / 42,-1.000 / -1.000 / 0 / 57,2.252 / 2.416 / 74 / 74,1.127 / 1.738 / 39 / 39
16,2-9,1.206 / 2.119 / 36 / 36,-1.000 / -1.000 / 0 / 41,1.232 / 1.574 / 62 / 62,1.100 / 1.335 / 84 / 84
17,2-10,0.860 / 0.860 / 68 / 68,-1.000 / -1.000 / 0 / 32,1.558 / 2.089 / 65 / 65,0.860 / 0.860 / 22 / 22
18,2-11,1.230 / 1.372 / 78 / 78,-1.000 / -1.000 / 0 / 58,2.215 / 2.415 / 52 / 52,1.211 / 1.236 / 55 / 55
19,2-12,1.524 / 1.768 / 52 / 52,-1.000 / -1.000 / 0 / 72,1.743 / 2.213 / 58 / 58,1.753 / 1.835 / 64 / 64
20,2-13,1.119 / 1.215 / 25 / 25,-1.000 / -1.000 / 0 / 36,0.565 / 0.565 / 73 / 73,1.163 / 1.216 / 58 / 58
