,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.139 / 1.265 / 99 / 99,1.164 / 1.473 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.083 / 1.265 / 99 / 99
1,1-1,1.594 / 1.842 / 99 / 99,1.656 / 1.835 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.491 / 1.857 / 99 / 99
2,1-2,1.422 / 1.826 / 99 / 99,1.508 / 1.763 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.488 / 1.944 / 99 / 99
3,1-3,1.403 / 1.861 / 99 / 99,2.378 / 2.867 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.420 / 2.033 / 99 / 99
4,1-4,1.690 / 1.977 / 99 / 99,1.810 / 2.168 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.818 / 2.240 / 99 / 99
5,1-5,1.195 / 1.316 / 99 / 99,1.362 / 1.661 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.141 / 1.340 / 99 / 99
6,1-6,1.000 / 1.000 / 99 / 99,1.898 / 2.335 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.344 / 1.412 / 99 / 99
7,2-0,2.569 / 2.695 / 50 / 50,376.376 / 3975.213 / 53 / 53,-1.000 / -1.000 / 0 / 58,-1.000 / -1.000 / 0 / 22
8,2-1,1.308 / 2.919 / 32 / 32,1.151 / 1.256 / 35 / 35,-1.000 / -1.000 / 0 / 59,1.172 / 3.389 / 46 / 46
9,2-2,2.541 / 2.737 / 58 / 58,1.023 / 1.900 / 61 / 61,-1.000 / -1.000 / 0 / 39,2.656 / 2.822 / 69 / 69
10,2-3,1.469 / 1.510 / 37 / 37,0.740 / 0.934 / 71 / 71,-1.000 / -1.000 / 0 / 43,2.837 / 5.910 / 76 / 76
11,2-4,2.368 / 2.793 / 45 / 45,1.627 / 1.778 / 57 / 57,-1.000 / -1.000 / 0 / 33,1.522 / 1.564 / 49 / 49
12,2-5,0.957 / 1.125 / 66 / 66,1.976 / 2.542 / 55 / 55,-1.000 / -1.000 / 0 / 72,0.970 / 0.970 / 55 / 55
13,2-6,1.955 / 1.955 / 40 / 40,1.222 / 2.012 / 60 / 60,-1.000 / -1.000 / 0 / 39,2.182 / 2.397 / 57 / 57
14,2-7,1.035 / 1.319 / 52 / 52,1.160 / 1.319 / 44 / 44,-1.000 / -1.000 / 0 / 54,2.042 / 2.494 / 73 / 73
15,2-8,1.081 / 2.013 / 43 / 43,1.607 / 2.234 / 58 / 58,-1.000 / -1.000 / 0 / 42,1.955 / 2.516 / 59 / 59
16,2-9,1.044 / 2.533 / 45 / 45,24.914 / 409.860 / 68 / 71,-1.000 / -1.000 / 0 / 63,0.656 / 0.914 / 50 / 50
17,2-10,1.331 / 1.881 / 33 / 33,350.551 / 4479.273 / 61 / 62,-1.000 / -1.000 / 0 / 31,1.400 / 1.678 / 61 / 61
18,2-11,0.890 / 0.890 / 51 / 51,1.637 / 1.637 / 55 / 55,-1.000 / -1.000 / 0 / 43,1.020 / 1.498 / 31 / 31
19,2-12,1.485 / 1.485 / 85 / 85,1.651 / 2.106 / 26 / 26,-1.000 / -1.000 / 0 / 39,1.470 / 1.470 / 63 / 63
20,2-13,1.155 / 1.164 / 61 / 61,1.180 / 2.999 / 42 / 42,-1.000 / -1.000 / 0 / 45,2.712 / 3.927 / 43 / 43
