,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.353 / 2.099 / 99 / 99,2.511 / 3.010 / 99 / 99,2.106 / 3.823 / 99 / 99,1.339 / 1.808 / 99 / 99
1,1-1,1.675 / 2.596 / 99 / 99,1.921 / 2.670 / 99 / 99,81.151 / 3619.513 / 99 / 99,1.831 / 2.670 / 99 / 99
2,1-2,1.293 / 1.673 / 99 / 99,1.690 / 2.257 / 99 / 99,1.811 / 2.624 / 99 / 99,1.307 / 1.673 / 99 / 99
3,1-3,1.307 / 1.496 / 99 / 99,1.302 / 1.841 / 99 / 99,3.440 / 5.542 / 99 / 99,1.287 / 1.541 / 99 / 99
4,1-4,1.406 / 1.892 / 99 / 99,1.624 / 2.254 / 99 / 99,5.360 / 374.739 / 95 / 99,1.232 / 1.437 / 99 / 99
5,1-5,1.314 / 1.587 / 99 / 99,1.638 / 1.964 / 99 / 99,1.766 / 2.144 / 99 / 99,1.606 / 1.854 / 99 / 99
6,1-6,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.003 / 1.105 / 99 / 99,1.000 / 1.000 / 99 / 99
7,2-0,4.500 / 5.088 / 65 / 65,1.412 / 2.091 / 36 / 36,2749.909 / 18147.413 / 72 / 72,1.427 / 1.994 / 52 / 52
8,2-1,2.343 / 2.753 / 63 / 63,2.387 / 2.891 / 60 / 60,1.847 / 1.961 / 56 / 56,1.982 / 2.519 / 62 / 62
9,2-2,2.252 / 2.712 / 49 / 49,2.015 / 2.920 / 47 / 47,53.189 / 1720.798 / 67 / 67,1.057 / 1.732 / 32 / 32
10,2-3,1.912 / 2.420 / 50 / 50,1.961 / 2.588 / 55 / 55,4.064 / 12.947 / 46 / 46,1.651 / 2.247 / 39 / 39
11,2-4,2.695 / 3.371 / 41 / 41,2.054 / 2.826 / 38 / 38,13.599 / 452.466 / 37 / 37,1.445 / 1.663 / 35 / 35
12,2-5,0.910 / 0.910 / 60 / 60,0.910 / 0.910 / 63 / 63,1.693 / 2.243 / 66 / 66,1.670 / 1.932 / 31 / 31
13,2-6,3.156 / 3.935 / 20 / 20,2.434 / 3.291 / 35 / 35,3066.144 / 16733.784 / 49 / 49,3.988 / 4.604 / 39 / 39
14,2-7,2.130 / 2.618 / 73 / 73,2.888 / 3.985 / 67 / 67,134.676 / 3606.245 / 58 / 58,1.314 / 1.907 / 48 / 48
15,2-8,1.875 / 2.228 / 47 / 47,2.045 / 2.439 / 69 / 69,0.948 / 1.270 / 76 / 76,1.048 / 1.270 / 61 / 61
16,2-9,1.475 / 1.863 / 65 / 65,2.431 / 3.886 / 66 / 66,96.256 / 3203.901 / 63 / 64,0.792 / 1.045 / 36 / 36
17,2-10,1.288 / 1.917 / 31 / 31,1.266 / 1.981 / 41 / 41,1.429 / 2.315 / 38 / 38,1.191 / 1.811 / 49 / 49
18,2-11,0.912 / 1.385 / 48 / 48,0.881 / 1.014 / 29 / 29,1.484 / 2.915 / 56 / 61,1.767 / 1.869 / 40 / 40
19,2-12,1.927 / 2.363 / 38 / 38,2.184 / 2.712 / 59 / 59,1.542 / 2.132 / 45 / 45,1.337 / 2.024 / 60 / 60
20,2-13,2.614 / 3.290 / 55 / 55,2.726 / 3.234 / 66 / 66,2.280 / 2.922 / 57 / 57,1.134 / 1.628 / 66 / 66
21,2-14,4.196 / 4.196 / 23 / 23,1.203 / 2.873 / 37 / 37,837.422 / 4513.020 / 48 / 50,1.325 / 1.657 / 54 / 54
22,2-15,2.744 / 3.201 / 65 / 65,2.153 / 2.965 / 39 / 39,1903.860 / 5429.200 / 30 / 30,2.785 / 3.074 / 83 / 83
23,2-16,1.348 / 1.550 / 40 / 40,1.362 / 1.550 / 57 / 57,4.089 / 12.296 / 60 / 60,0.863 / 0.863 / 70 / 70
24,2-17,1.366 / 1.373 / 31 / 31,1.434 / 2.087 / 66 / 66,1.088 / 1.221 / 79 / 79,0.895 / 0.895 / 48 / 48
25,2-18,2.455 / 2.870 / 58 / 58,1.445 / 1.902 / 52 / 52,339.235 / 3659.703 / 47 / 52,2.079 / 2.275 / 67 / 67
26,2-19,1.370 / 1.498 / 54 / 54,1.277 / 1.890 / 54 / 54,698.714 / 3914.221 / 41 / 45,1.217 / 1.665 / 63 / 63
27,2-20,0.908 / 0.908 / 42 / 42,0.908 / 0.908 / 35 / 35,1.175 / 2.484 / 23 / 23,0.908 / 0.908 / 50 / 50
28,2-21,1.431 / 1.743 / 43 / 43,1.778 / 2.637 / 66 / 66,2.066 / 2.669 / 53 / 53,1.958 / 2.627 / 53 / 53
29,2-22,1.747 / 1.916 / 40 / 40,1.956 / 2.336 / 50 / 50,1.747 / 4.057 / 59 / 61,1.060 / 1.064 / 35 / 35
30,2-23,2.600 / 2.625 / 4 / 4,1.713 / 1.959 / 60 / 60,256.864 / 2433.421 / 67 / 71,1.247 / 1.438 / 75 / 75
31,2-24,2.585 / 2.998 / 25 / 25,1.976 / 2.834 / 56 / 56,1180.994 / 7835.209 / 39 / 39,1.030 / 1.310 / 19 / 19
32,2-25,2.270 / 2.866 / 38 / 38,2.265 / 2.452 / 26 / 26,1.365 / 1.637 / 38 / 38,1.481 / 1.637 / 43 / 43
33,2-26,1.005 / 1.120 / 20 / 20,1.206 / 1.558 / 45 / 45,0.820 / 0.957 / 58 / 58,0.673 / 0.673 / 19 / 19
34,2-27,0.892 / 0.892 / 68 / 68,0.892 / 0.892 / 49 / 49,3.149 / 4.797 / 59 / 59,0.892 / 0.892 / 60 / 60
