,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1,3.328,2.89,4.055,4.877,2.953
2,2.943,3.151,3.253,4.465,4.298
3,3.078,2.709,3.432,3.557,4.731
4,3.063,3.065,3.753,3.025,2.91
