,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1.0,2.714,2.338,3.677,2.183,3.304
1.25,3.45,4.205,3.12,2.67,2.81
1.5,3.121,4.243,4.209,4.243,3.764
1.75,3.588,4.57,4.342,3.037,4.463
2.0,3.328,2.89,4.055,4.877,2.953
