,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1,3.121,4.243,4.209,4.243,3.764
2,2.908,3.602,3.013,3.602,2.859
3,2.811,2.824,2.824,2.824,3.022
4,3.256,3.194,3.227,3.081,2.847
