,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1,3.45,4.205,3.12,2.67,2.81
2,3.607,2.896,3.189,2.896,3.171
3,2.91,3.05,3.975,3.05,3.04
4,2.775,2.777,2.943,3.172,2.943
