,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1,2.714,2.338,3.677,2.183,3.304
2,2.641,2.599,2.912,2.599,2.444
3,3.38,2.59,2.703,2.59,2.59
4,2.85,2.65,3.175,2.65,2.86
