,ILP,shortest_path,least_used_capacity_percentage,least_conflict_value,min_max_percentage
1.0,2.641,2.599,2.912,2.599,2.444
1.25,3.607,2.896,3.189,2.896,3.171
1.5,2.908,3.602,3.013,3.602,2.859
1.75,4.915,3.03,3.084,3.03,3.248
2.0,2.943,3.151,3.253,4.465,4.298
