,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.049 / 1.079 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.023 / 1.752 / 99 / 99,1.050 / 1.079 / 99 / 99
1,1-1,1.180 / 1.459 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.584 / 1.813 / 99 / 99,1.186 / 1.459 / 99 / 99
2,1-2,1.567 / 1.821 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.369 / 2.721 / 99 / 99,1.575 / 1.821 / 99 / 99
3,1-3,2.118 / 2.490 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.676 / 3.013 / 99 / 99,2.176 / 2.490 / 99 / 99
4,1-4,1.463 / 2.105 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.004 / 2.873 / 99 / 99,1.634 / 2.105 / 99 / 99
5,1-5,1.220 / 1.791 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.897 / 2.261 / 99 / 99,1.179 / 1.791 / 99 / 99
6,1-6,1.740 / 2.140 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.826 / 2.140 / 99 / 99,1.848 / 2.140 / 99 / 99
7,1-7,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.282 / 1.282 / 99 / 99,1.000 / 1.000 / 99 / 99
8,2-0,0.930 / 0.930 / 38 / 38,-1.000 / -1.000 / 0 / 52,1.344 / 1.435 / 72 / 72,0.930 / 0.930 / 32 / 32
9,2-1,1.107 / 1.239 / 47 / 47,-1.000 / -1.000 / 0 / 46,1.035 / 1.244 / 40 / 40,1.074 / 1.239 / 32 / 32
10,2-2,1.042 / 1.166 / 42 / 42,-1.000 / -1.000 / 0 / 65,0.932 / 0.932 / 41 / 41,1.022 / 1.166 / 43 / 43
11,2-3,0.944 / 0.944 / 49 / 49,-1.000 / -1.000 / 0 / 72,1.275 / 1.607 / 54 / 54,0.944 / 0.944 / 42 / 42
12,2-4,1.555 / 1.693 / 45 / 45,-1.000 / -1.000 / 0 / 40,0.960 / 1.724 / 43 / 43,1.567 / 1.693 / 58 / 58
13,2-5,0.889 / 0.889 / 62 / 62,-1.000 / -1.000 / 0 / 54,1.418 / 1.540 / 44 / 44,0.889 / 0.889 / 62 / 62
14,2-6,1.119 / 1.432 / 45 / 45,-1.000 / -1.000 / 0 / 62,1.806 / 1.885 / 45 / 45,1.179 / 1.432 / 63 / 63
15,2-7,1.174 / 1.688 / 36 / 36,-1.000 / -1.000 / 0 / 45,1.465 / 2.086 / 62 / 62,1.115 / 1.688 / 57 / 57
