,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.181 / 1.181 / 99 / 99,1.181 / 1.181 / 99 / 99,1.000 / 1.000 / 99 / 99
1,2-0,0.898 / 0.898 / 60 / 60,0.898 / 0.898 / 34 / 34,0.898 / 0.898 / 60 / 60,0.898 / 0.898 / 28 / 28
2,2-1,0.977 / 1.043 / 60 / 60,1.052 / 1.052 / 36 / 36,1.052 / 1.052 / 52 / 52,0.936 / 1.043 / 73 / 73
3,2-2,0.919 / 0.919 / 43 / 43,0.919 / 0.919 / 64 / 64,0.919 / 0.919 / 73 / 73,0.919 / 0.919 / 26 / 26
