,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.007 / 1.296 / 99 / 99,0.895 / 1.076 / 99 / 99,0.978 / 1.076 / 99 / 99,0.934 / 1.076 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.376 / 1.376 / 99 / 99,1.376 / 1.376 / 99 / 99,0.885 / 1.167 / 99 / 99
2,2-0,0.956 / 1.132 / 49 / 49,1.211 / 1.416 / 33 / 33,1.259 / 1.416 / 48 / 48,0.877 / 1.097 / 62 / 62
3,2-1,0.906 / 1.565 / 70 / 70,0.896 / 0.896 / 37 / 37,0.896 / 0.896 / 62 / 62,0.896 / 0.896 / 48 / 48
4,2-2,1.037 / 1.378 / 58 / 58,1.402 / 1.402 / 44 / 44,1.511 / 1.762 / 53 / 53,1.031 / 1.537 / 54 / 54
5,2-3,1.650 / 1.718 / 31 / 31,1.518 / 1.718 / 24 / 24,1.630 / 1.718 / 51 / 51,1.589 / 1.718 / 52 / 52
6,2-4,0.947 / 1.015 / 49 / 49,0.950 / 1.015 / 39 / 39,0.944 / 1.015 / 51 / 51,0.957 / 1.015 / 36 / 36
7,2-5,0.961 / 1.144 / 52 / 52,0.865 / 0.915 / 13 / 13,0.907 / 1.144 / 52 / 52,0.940 / 1.144 / 30 / 30
8,2-6,1.312 / 1.459 / 43 / 43,1.652 / 1.865 / 58 / 58,1.529 / 1.865 / 57 / 57,1.028 / 1.322 / 79 / 79
9,2-7,0.899 / 0.899 / 62 / 62,0.899 / 0.899 / 49 / 49,0.899 / 0.899 / 61 / 61,0.899 / 0.899 / 45 / 45
