,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.079 / 1.267 /  9,1.352 / 1.352 /  9,1.223 / 1.223 /  9,1.135 / 1.135 /  9
1,1-1,1.336 / 1.336 /  9,1.383 / 1.383 /  9,1.383 / 1.383 /  9,1.336 / 1.336 /  9,1.383 / 1.383 /  9
2,2-0,1.089 / 1.089 /  6,1.089 / 1.089 /  6,1.090 / 1.096 /  8,1.089 / 1.089 /  8,1.089 / 1.089 /  6
3,2-1,0.924 / 0.924 /  7,1.003 / 1.101 /  7,-1.000 / -1.000 /  0,0.924 / 0.924 /  7,1.017 / 1.367 /  8
4,2-2,0.952 / 0.952 /  6,1.037 / 1.374 /  5,0.952 / 0.952 /  7,0.952 / 0.952 /  7,0.952 / 0.952 /  6
5,2-3,0.994 / 1.204 /  6,0.952 / 0.952 /  7,1.054 / 1.374 /  6,1.007 / 1.336 /  7,1.048 / 1.336 /  8
6,2-4,0.889 / 0.889 /  5,0.889 / 0.889 /  8,0.889 / 0.889 /  8,0.889 / 0.889 /  7,0.889 / 0.889 /  7
7,2-5,0.802 / 0.802 /  6,0.892 / 0.892 /  3,0.873 / 0.873 /  7,0.802 / 0.802 /  7,0.826 / 0.924 /  5
8,2-6,0.952 / 0.952 /  7,1.439 / 1.439 /  8,0.952 / 0.952 /  8,1.439 / 1.439 /  6,0.952 / 0.952 /  9
9,2-7,0.647 / 1.173 /  9,0.879 / 0.879 / 10,0.582 / 0.582 /  8,0.879 / 0.879 /  6,0.582 / 0.582 /  7
