,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,2.147 / 2.147 /  9,2.147 / 2.147 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,2.028 / 2.522 /  9,1.991 / 2.218 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,2-0,1.075 / 1.143 / 10,1.067 / 1.067 /  8,1.067 / 1.067 /  7,1.182 / 1.375 /  6,1.119 / 1.375 /  6
3,2-1,1.981 / 1.981 /  8,1.178 / 1.178 /  7,1.258 / 1.541 /  9,1.981 / 1.981 /  7,2.001 / 2.166 /  9
4,2-2,1.420 / 1.420 /  7,0.957 / 1.420 /  8,1.016 / 1.420 / 11,1.420 / 1.420 /  5,1.467 / 1.794 /  8
5,2-3,0.915 / 0.981 / 10,0.899 / 0.899 /  9,0.899 / 0.899 /  4,0.899 / 0.899 /  4,0.915 / 1.010 /  7
6,2-4,1.172 / 1.172 /  5,1.172 / 1.172 /  5,1.172 / 1.172 /  4,1.197 / 1.377 /  8,1.172 / 1.172 /  7
7,2-5,1.031 / 1.255 /  9,0.929 / 1.186 /  8,0.893 / 0.893 /  6,0.893 / 0.893 /  9,0.893 / 0.893 /  8
8,2-6,0.727 / 0.727 /  8,0.727 / 0.727 /  9,0.727 / 0.727 /  4,0.869 / 1.436 / 10,0.829 / 1.436 /  7
9,2-7,1.209 / 1.209 /  6,1.285 / 1.474 /  7,1.323 / 1.515 / 10,1.209 / 1.209 /  4,1.248 / 1.515 /  8
