,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.863 / 1.863 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.499 / 1.499 /  9,1.534 / 1.818 /  9,1.174 / 1.174 /  9,1.499 / 1.499 /  9,1.522 / 1.706 /  9
2,1-2,1.386 / 1.386 /  9,1.386 / 1.386 /  9,1.000 / 1.000 /  9,1.386 / 1.386 /  9,1.386 / 1.386 /  9
3,2-0,1.004 / 1.679 /  7,0.947 / 1.374 /  7,0.939 / 1.179 /  6,0.891 / 0.891 /  8,1.341 / 1.438 /  8
4,2-1,1.060 / 1.160 /  9,1.031 / 1.031 /  7,1.337 / 1.646 /  3,1.105 / 1.638 / 10,1.106 / 1.106 /  6
5,2-2,0.895 / 0.895 /  7,0.895 / 0.895 /  6,0.895 / 0.895 /  5,0.895 / 0.895 /  9,0.895 / 0.895 /  9
6,2-3,0.761 / 0.761 /  5,0.761 / 0.761 /  5,0.545 / 0.545 /  7,0.761 / 0.761 /  7,0.761 / 0.761 /  7
7,2-4,1.506 / 1.506 /  8,1.506 / 1.506 / 11,1.506 / 1.506 /  7,1.506 / 1.506 /  9,0.911 / 0.911 /  8
8,2-5,1.126 / 1.126 /  6,1.218 / 1.495 /  8,1.221 / 1.364 /  7,1.126 / 1.126 /  4,1.319 / 1.319 /  2
9,2-6,1.087 / 1.346 /  7,1.110 / 1.245 /  6,1.425 / 1.771 /  9,1.044 / 1.054 /  8,1.118 / 1.346 /  4
10,2-7,0.919 / 0.919 /  7,0.919 / 0.919 /  7,0.945 / 1.126 /  8,0.919 / 0.919 /  7,0.919 / 0.919 /  7
11,2-8,2.066 / 2.401 /  8,2.072 / 2.401 /  8,2.114 / 2.401 /  4,2.062 / 2.401 /  9,2.020 / 2.034 /  6
12,2-9,1.478 / 1.478 /  7,1.521 / 1.773 /  7,1.528 / 1.773 /  6,1.478 / 1.478 /  8,1.478 / 1.478 /  8
13,2-10,1.808 / 2.138 /  4,1.828 / 2.262 /  7,1.423 / 1.434 /  6,1.776 / 2.138 /  6,2.068 / 2.593 /  5
14,2-11,1.391 / 1.391 /  7,1.391 / 1.391 /  7,1.391 / 1.391 /  6,1.391 / 1.391 /  6,0.842 / 0.842 /  6
