,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.124 / 1.192 / 99 / 99,1.000 / 1.000 / 99 / 99,1.850 / 1.997 / 99 / 99,1.119 / 1.192 / 99 / 99,1.178 / 1.192 / 99 / 99
1,1-1,1.493 / 1.877 / 99 / 99,1.642 / 2.133 / 99 / 99,1.929 / 2.294 / 99 / 99,1.333 / 1.877 / 99 / 99,1.782 / 2.144 / 99 / 99
2,1-2,1.058 / 1.303 / 99 / 99,1.110 / 1.303 / 99 / 99,1.110 / 1.303 / 99 / 99,1.034 / 1.303 / 99 / 99,1.064 / 1.303 / 99 / 99
3,1-3,1.000 / 1.000 / 99 / 99,1.038 / 1.073 / 99 / 99,1.639 / 2.499 / 99 / 99,1.000 / 1.000 / 99 / 99,1.337 / 1.337 / 99 / 99
4,1-4,1.156 / 1.369 / 99 / 99,1.313 / 1.369 / 99 / 99,1.353 / 1.738 / 99 / 99,1.108 / 1.369 / 99 / 99,1.115 / 1.369 / 99 / 99
5,1-5,1.106 / 1.363 / 99 / 99,1.186 / 1.363 / 99 / 99,1.326 / 1.577 / 99 / 99,1.413 / 1.685 / 99 / 99,2.920 / 2.920 / 99 / 99
6,1-6,1.434 / 2.074 / 99 / 99,1.973 / 2.525 / 99 / 99,1.947 / 2.696 / 99 / 99,1.718 / 2.074 / 99 / 99,1.643 / 2.074 / 99 / 99
7,1-7,1.465 / 1.712 / 99 / 99,1.753 / 1.917 / 99 / 99,2.048 / 2.263 / 99 / 99,1.494 / 1.712 / 99 / 99,1.442 / 1.750 / 99 / 99
8,1-8,1.075 / 1.427 / 99 / 99,1.206 / 1.584 / 99 / 99,1.121 / 1.781 / 99 / 99,1.165 / 1.427 / 99 / 99,1.049 / 2.044 / 99 / 99
9,1-9,1.425 / 1.778 / 99 / 99,1.479 / 1.663 / 99 / 99,1.457 / 2.692 / 99 / 99,1.192 / 1.636 / 99 / 99,1.411 / 1.934 / 99 / 99
10,1-10,1.345 / 1.958 / 99 / 99,2.190 / 2.681 / 99 / 99,2.097 / 2.931 / 99 / 99,1.327 / 1.856 / 99 / 99,2.028 / 2.474 / 99 / 99
11,1-11,1.320 / 1.320 / 99 / 99,1.396 / 1.538 / 99 / 99,1.849 / 2.183 / 23 / 99,1.516 / 1.516 / 99 / 99,2.360 / 2.395 / 99 / 99
12,1-12,1.469 / 2.020 / 99 / 99,1.720 / 2.232 / 99 / 99,2.331 / 3.232 / 99 / 99,1.514 / 1.909 / 99 / 99,1.488 / 1.997 / 99 / 99
13,2-0,1.195 / 1.574 / 64 / 64,1.189 / 1.574 / 58 / 58,1.715 / 1.894 / 17 / 31,1.175 / 1.593 / 52 / 52,1.173 / 1.963 / 36 / 36
14,2-1,0.951 / 1.191 / 25 / 25,1.151 / 1.676 / 56 / 56,1.263 / 1.515 / 60 / 60,0.964 / 0.996 / 29 / 29,0.993 / 1.292 / 47 / 47
15,2-2,1.433 / 1.799 / 18 / 18,1.394 / 2.174 / 31 / 31,1.531 / 2.142 / 65 / 65,1.127 / 1.799 / 52 / 52,0.931 / 1.352 / 33 / 33
16,2-3,0.890 / 0.890 / 64 / 64,1.359 / 1.359 / 46 / 46,1.092 / 1.475 / 69 / 69,0.890 / 0.890 / 61 / 61,0.890 / 0.890 / 50 / 50
17,2-4,0.890 / 0.890 / 28 / 28,1.056 / 1.474 / 51 / 51,1.124 / 1.323 / 41 / 41,1.117 / 1.474 / 58 / 58,1.000 / 1.474 / 40 / 40
18,2-5,0.953 / 0.953 / 38 / 38,0.953 / 0.953 / 49 / 49,0.953 / 0.953 / 75 / 75,0.953 / 0.953 / 69 / 69,0.953 / 0.953 / 74 / 74
19,2-6,0.920 / 1.273 / 37 / 37,0.992 / 1.676 / 30 / 30,1.158 / 1.658 / 50 / 50,1.144 / 1.676 / 63 / 63,1.200 / 1.676 / 68 / 68
20,2-7,1.032 / 1.971 / 33 / 33,0.964 / 1.971 / 51 / 51,0.948 / 1.515 / 46 / 46,1.008 / 1.515 / 47 / 47,1.027 / 1.515 / 67 / 67
21,2-8,1.101 / 2.095 / 30 / 30,1.183 / 2.069 / 38 / 38,1.063 / 1.915 / 38 / 38,1.143 / 2.095 / 53 / 53,1.289 / 1.847 / 24 / 24
22,2-9,1.127 / 1.918 / 48 / 48,1.084 / 2.310 / 34 / 34,1.397 / 2.645 / 46 / 46,1.130 / 1.917 / 38 / 38,0.998 / 1.862 / 45 / 45
23,2-10,0.943 / 1.461 / 30 / 30,0.969 / 1.494 / 45 / 45,1.665 / 2.240 / 56 / 56,1.517 / 1.972 / 50 / 50,0.968 / 1.223 / 46 / 46
24,2-11,0.928 / 1.301 / 50 / 50,0.765 / 0.765 / 63 / 63,0.966 / 1.732 / 47 / 52,0.920 / 0.920 / 46 / 46,0.920 / 0.920 / 37 / 37
25,2-12,1.355 / 1.706 / 43 / 43,1.125 / 1.436 / 33 / 33,1.179 / 1.436 / 53 / 53,1.054 / 1.706 / 52 / 52,1.161 / 1.569 / 51 / 51
26,2-13,0.940 / 1.134 / 37 / 37,1.146 / 1.595 / 61 / 61,1.118 / 1.595 / 46 / 46,1.029 / 1.365 / 15 / 15,0.954 / 1.260 / 51 / 51
27,2-14,1.022 / 1.347 / 38 / 38,1.106 / 1.461 / 83 / 83,1.073 / 1.658 / 51 / 51,1.111 / 1.374 / 57 / 57,1.015 / 1.231 / 13 / 13
28,2-15,1.048 / 1.142 / 44 / 44,1.123 / 1.252 / 67 / 67,1.180 / 1.252 / 44 / 44,0.983 / 1.142 / 69 / 69,0.970 / 1.142 / 46 / 46
29,2-16,1.121 / 1.339 / 14 / 14,0.889 / 0.889 / 50 / 50,0.889 / 0.889 / 46 / 46,1.091 / 1.339 / 77 / 77,1.044 / 1.339 / 47 / 47
30,2-17,1.181 / 1.669 / 40 / 40,1.188 / 2.075 / 68 / 68,1.068 / 1.687 / 53 / 53,1.188 / 1.687 / 24 / 24,1.233 / 2.075 / 42 / 42
