,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.368 / 1.845 / 99 / 99,1.226 / 1.766 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.539 / 1.888 / 99 / 99,5077.453 / 10154.309 / 74 / 99
1,1-1,0.911 / 1.232 / 99 / 99,1.185 / 1.389 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.039 / 1.274 / 99 / 99,3825.345 / 7650.956 / 76 / 99
2,1-2,1.350 / 1.759 / 99 / 99,1.483 / 2.134 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.315 / 1.759 / 99 / 99,15684.596 / 31368.620 / 41 / 99
3,1-3,1.751 / 2.055 / 99 / 99,1.452 / 2.536 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.823 / 2.243 / 99 / 99,5229.655 / 10459.338 / 76 / 99
4,1-4,1.713 / 2.293 / 99 / 99,1.583 / 2.237 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.776 / 2.293 / 99 / 99,16447.079 / 32889.526 / 41 / 99
5,1-5,1.555 / 2.049 / 99 / 99,2.039 / 2.222 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.610 / 2.144 / 99 / 99,5215.141 / 10429.000 / 76 / 99
6,1-6,1.331 / 1.708 / 99 / 99,1.681 / 2.190 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.465 / 1.812 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,1.285 / 2.278 / 99 / 99,1.305 / 2.343 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.298 / 2.278 / 99 / 99,16339.806 / 32680.172 / 41 / 99
8,1-8,1.544 / 1.758 / 99 / 99,2.430 / 2.758 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.525 / 1.758 / 99 / 99,-1.000 / -1.000 / 0 / 99
9,1-9,1.314 / 1.439 / 99 / 99,1.582 / 1.670 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.300 / 1.346 / 99 / 99,3109.505 / 6218.093 / 83 / 99
10,1-10,1.211 / 1.527 / 99 / 99,1.167 / 1.712 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.117 / 1.814 / 99 / 99,1.195 / 1.589 / 99 / 99
11,1-11,1.409 / 1.814 / 99 / 99,2.443 / 2.719 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.567 / 2.061 / 99 / 99,10464.057 / 20926.325 / 54 / 99
12,1-12,1.365 / 2.073 / 99 / 99,1.718 / 2.102 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.514 / 2.113 / 99 / 99,6.317 / 467.983 / 99 / 99
13,2-0,1.107 / 2.127 / 70 / 70,2.230 / 2.585 / 49 / 49,-1.000 / -1.000 / 0 / 57,1.106 / 1.708 / 57 / 57,1.123 / 1.842 / 32 / 32
14,2-1,0.918 / 1.574 / 39 / 39,0.949 / 1.006 / 32 / 32,-1.000 / -1.000 / 0 / 32,1.441 / 1.605 / 34 / 34,0.964 / 1.006 / 56 / 56
15,2-2,1.037 / 1.550 / 48 / 48,1.017 / 1.550 / 33 / 33,-1.000 / -1.000 / 0 / 47,1.263 / 1.882 / 76 / 76,1.005 / 1.231 / 68 / 68
16,2-3,1.038 / 1.306 / 74 / 74,1.047 / 1.306 / 69 / 69,-1.000 / -1.000 / 0 / 21,0.964 / 1.252 / 29 / 29,4029.817 / 5963.064 / 17 / 22
17,2-4,1.122 / 1.879 / 37 / 37,1.534 / 1.875 / 34 / 34,-1.000 / -1.000 / 0 / 67,0.993 / 1.295 / 29 / 29,0.978 / 1.295 / 53 / 53
18,2-5,1.027 / 1.180 / 39 / 39,0.887 / 1.110 / 30 / 30,-1.000 / -1.000 / 0 / 49,1.047 / 1.505 / 45 / 45,7680.705 / 10480.486 / 10 / 15
19,2-6,1.050 / 2.631 / 61 / 61,1.316 / 2.336 / 60 / 60,-1.000 / -1.000 / 0 / 67,0.969 / 1.297 / 34 / 34,6651.057 / 12986.124 / 24 / 40
