,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.090 / 1.270 /  9,1.195 / 1.270 /  9,2.015 / 2.216 /  9,1.270 / 1.270 /  9,1.180 / 1.180 /  9
1,1-1,1.355 / 1.554 /  9,1.538 / 1.538 /  9,1.296 / 1.377 /  9,1.570 / 1.829 /  9,1.474 / 1.492 /  9
2,1-2,1.000 / 1.000 /  9,1.077 / 1.082 /  9,1.048 / 1.135 /  9,1.000 / 1.000 /  9,1.015 / 1.135 /  9
3,1-3,1.222 / 1.333 /  9,1.378 / 1.378 /  9,1.378 / 1.378 /  9,1.222 / 1.333 /  9,1.259 / 1.333 /  9
4,1-4,1.171 / 1.513 /  9,1.000 / 1.000 /  9,1.406 / 2.456 /  9,1.171 / 1.513 /  9,1.114 / 1.513 /  9
5,1-5,1.257 / 1.386 /  9,1.144 / 1.432 /  9,1.921 / 2.346 /  9,1.000 / 1.000 /  9,1.593 / 1.759 /  9
6,1-6,1.619 / 1.619 /  9,1.951 / 1.951 /  9,1.951 / 1.951 /  9,1.869 / 1.869 /  9,2.093 / 2.093 /  9
7,2-0,0.887 / 0.887 / 10,1.015 / 1.329 /  7,1.056 / 1.613 /  7,0.966 / 0.993 / 10,1.187 / 1.187 /  6
8,2-1,0.953 / 0.953 /  7,1.003 / 1.077 / 10,0.968 / 1.061 /  7,0.971 / 1.077 /  7,0.953 / 0.953 /  6
9,2-2,0.891 / 0.891 /  9,0.891 / 0.891 / 11,0.891 / 0.891 /  8,0.891 / 0.891 /  4,0.891 / 0.891 /  9
10,2-3,0.952 / 0.952 /  8,1.532 / 1.532 /  5,1.689 / 2.020 /  9,1.569 / 1.859 /  9,1.480 / 1.480 /  8
11,2-4,1.327 / 1.561 / 10,0.976 / 1.268 /  8,0.934 / 0.934 /  6,0.934 / 0.934 /  9,1.051 / 1.227 /  5
12,2-5,0.892 / 0.892 /  8,0.952 / 1.315 /  7,0.892 / 0.892 /  8,0.962 / 1.315 /  6,0.937 / 1.256 /  8
13,2-6,1.296 / 1.566 / 11,0.898 / 0.898 /  6,0.898 / 0.898 /  6,0.941 / 1.236 /  8,0.960 / 1.236 / 11
