,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.281 / 1.589 /  9,1.233 / 1.318 /  9,1.302 / 1.609 /  9,1.106 / 1.386 /  9,1.290 / 1.318 /  9
1,1-1,1.000 / 1.000 /  9,1.088 / 1.788 /  9,1.134 / 1.403 /  9,1.435 / 1.659 /  9,1.000 / 1.000 /  9
2,1-2,1.165 / 1.185 /  9,1.185 / 1.185 /  9,1.228 / 1.566 /  9,1.124 / 1.185 /  9,1.144 / 1.185 /  9
3,1-3,1.762 / 1.882 /  9,1.714 / 1.714 /  9,1.733 / 1.882 /  9,1.660 / 1.714 /  9,1.678 / 1.714 /  9
4,1-4,1.766 / 1.790 /  9,1.790 / 1.790 /  9,1.888 / 2.674 /  9,1.719 / 1.790 /  9,1.743 / 1.790 /  9
5,1-5,1.196 / 1.589 /  9,1.218 / 1.294 /  9,1.275 / 1.589 /  8,1.127 / 1.278 /  9,1.130 / 1.196 /  9
6,1-6,1.106 / 1.310 /  9,1.062 / 1.091 /  9,1.106 / 1.310 /  9,1.037 / 1.067 /  9,1.045 / 1.067 /  9
7,2-0,1.228 / 2.057 /  7,1.198 / 2.472 / 10,1.056 / 1.869 / 11,1.508 / 2.057 /  8,1.211 / 2.472 /  5
8,2-1,0.971 / 0.971 /  8,0.971 / 0.971 /  8,1.070 / 1.394 /  8,0.971 / 0.971 /  9,1.036 / 1.300 /  7
9,2-2,1.893 / 2.195 /  8,1.850 / 1.850 /  9,1.899 / 2.195 /  7,1.850 / 1.850 /  5,1.850 / 1.850 /  4
10,2-3,0.952 / 0.952 /  6,0.952 / 0.952 /  8,0.952 / 0.952 / 10,0.952 / 0.952 /  7,0.952 / 0.952 /  7
11,2-4,1.021 / 1.148 /  7,0.997 / 1.148 /  7,0.970 / 0.970 /  9,0.970 / 0.970 /  4,0.992 / 1.148 /  8
12,2-5,0.979 / 0.979 /  7,0.979 / 0.979 /  8,0.979 / 0.979 /  8,0.979 / 0.979 /  6,0.979 / 0.979 /  8
13,2-6,1.013 / 1.635 /  6,0.889 / 0.889 /  9,0.889 / 0.889 /  7,0.889 / 0.889 /  6,0.889 / 0.889 /  9
