,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.485 / 2.199 / 99 / 99,1.870 / 2.369 / 99 / 99,1.912 / 2.587 / 99 / 99,1.818 / 2.459 / 99 / 99
1,1-1,2.128 / 3.326 / 99 / 99,1.906 / 2.829 / 99 / 99,2.021 / 2.571 / 99 / 99,2.657 / 3.146 / 99 / 99
2,1-2,1.890 / 2.214 / 99 / 99,1.879 / 2.214 / 99 / 99,1.961 / 2.214 / 99 / 99,1.986 / 2.214 / 99 / 99
3,1-3,1.106 / 1.270 / 99 / 99,1.072 / 1.343 / 99 / 99,1.180 / 1.368 / 99 / 99,1.199 / 1.270 / 99 / 99
4,1-4,1.344 / 1.601 / 99 / 99,59.879 / 443.638 / 99 / 99,49.327 / 885.487 / 92 / 99,122.367 / 2211.990 / 99 / 99
5,1-5,1.000 / 1.000 / 99 / 99,2.396 / 2.676 / 99 / 99,2.380 / 2.829 / 99 / 99,2.425 / 2.902 / 99 / 99
6,1-6,1.223 / 1.475 / 99 / 99,1.472 / 1.871 / 99 / 99,1.801 / 2.116 / 99 / 99,1.438 / 1.824 / 99 / 99
7,1-7,1.929 / 2.567 / 99 / 99,1.879 / 2.102 / 99 / 99,2.414 / 2.714 / 99 / 99,1.992 / 2.374 / 99 / 99
8,2-0,0.896 / 0.897 / 45 / 45,1.066 / 1.435 / 49 / 49,9.029 / 458.463 / 55 / 55,105.428 / 2289.260 / 35 / 35
9,2-1,1.005 / 1.288 / 59 / 59,116.369 / 2248.250 / 52 / 52,19.521 / 749.559 / 40 / 40,73.790 / 1499.208 / 36 / 36
10,2-2,0.973 / 1.486 / 48 / 48,1.293 / 1.691 / 46 / 46,1.313 / 1.610 / 81 / 81,1.095 / 2.175 / 48 / 48
11,2-3,1.559 / 1.940 / 43 / 43,1.054 / 1.319 / 59 / 59,1.146 / 1.603 / 55 / 55,0.986 / 1.060 / 57 / 57
12,2-4,1.156 / 1.661 / 41 / 41,1.150 / 1.743 / 39 / 39,1.060 / 2.094 / 34 / 34,1.672 / 2.030 / 74 / 74
13,2-5,1.027 / 1.027 / 40 / 40,2.266 / 3.412 / 28 / 35,33.109 / 1032.094 / 49 / 50,313.521 / 3607.964 / 43 / 50
14,2-6,0.895 / 1.006 / 52 / 52,0.836 / 0.836 / 48 / 48,0.836 / 0.836 / 51 / 51,0.836 / 0.836 / 56 / 56
15,2-7,1.244 / 1.521 / 52 / 52,1.008 / 1.190 / 10 / 10,0.968 / 1.181 / 41 / 41,0.906 / 1.190 / 19 / 19
16,2-8,0.784 / 0.784 / 35 / 35,2.775 / 2.775 / 39 / 39,2.843 / 3.695 / 58 / 58,2.841 / 3.171 / 6 / 6
17,2-9,1.353 / 1.502 / 72 / 72,1.236 / 1.494 / 53 / 53,1.283 / 1.494 / 62 / 62,1.217 / 1.494 / 42 / 42
18,2-10,1.321 / 1.585 / 57 / 57,2.284 / 2.502 / 38 / 38,2.394 / 3.387 / 48 / 48,2.551 / 3.834 / 45 / 45
19,2-11,1.679 / 2.057 / 36 / 36,3.015 / 3.690 / 67 / 67,3.134 / 3.396 / 48 / 48,3.068 / 3.842 / 52 / 52
20,2-12,1.527 / 1.605 / 28 / 28,1.595 / 1.678 / 36 / 36,1111.264 / 4728.535 / 23 / 23,2143.029 / 11347.007 / 49 / 49
21,2-13,1.307 / 1.821 / 68 / 68,1.364 / 1.620 / 39 / 39,1.366 / 1.853 / 28 / 28,1.223 / 1.601 / 26 / 26
22,2-14,0.920 / 0.980 / 38 / 38,0.820 / 0.841 / 23 / 23,0.859 / 1.687 / 63 / 63,1.074 / 2.577 / 72 / 72
23,2-15,0.997 / 1.279 / 87 / 87,0.982 / 1.279 / 51 / 51,1.239 / 1.660 / 35 / 35,0.919 / 0.919 / 30 / 30
