,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.016 / 1.144 /  9,1.313 / 1.588 /  9,2.044 / 2.124 /  9,1.121 / 1.121 /  9,1.588 / 1.891 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,2-0,1.257 / 1.257 /  8,1.257 / 1.257 /  4,1.257 / 1.257 /  4,1.257 / 1.257 /  7,1.257 / 1.257 /  6
3,2-1,1.050 / 1.050 /  7,1.050 / 1.050 /  7,1.050 / 1.050 /  6,1.050 / 1.050 /  8,1.050 / 1.050 /  9
4,2-2,1.194 / 1.194 / 11,0.666 / 0.666 /  8,1.194 / 1.194 / 10,1.168 / 1.168 /  8,1.629 / 1.638 /  8
5,2-3,1.221 / 1.221 /  7,1.278 / 1.567 /  6,1.278 / 1.567 /  6,1.307 / 1.567 /  8,1.221 / 1.221 /  6
6,2-4,0.941 / 0.941 /  5,0.999 / 1.345 /  7,0.986 / 1.345 /  9,0.941 / 0.941 /  6,1.114 / 1.345 /  7
7,2-5,0.892 / 0.892 /  5,1.113 / 1.113 /  7,1.839 / 1.957 /  6,1.000 / 1.000 /  9,1.431 / 1.769 /  8
8,2-6,1.424 / 1.424 /  7,1.824 / 2.066 /  8,1.424 / 1.424 /  7,2.458 / 2.458 /  5,1.424 / 1.424 /  7
9,2-7,0.888 / 0.888 /  8,1.415 / 1.728 /  6,1.977 / 1.977 /  8,1.514 / 1.641 / 10,0.888 / 0.888 /  5
