,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,1.157 / 1.157 /  9,1.490 / 1.490 /  9,1.157 / 1.157 /  9,1.408 / 1.446 /  9
2,2-0,1.420 / 1.606 /  9,1.396 / 1.396 /  6,1.417 / 1.606 / 10,1.458 / 1.643 /  4,1.396 / 1.396 /  9
3,2-1,0.891 / 0.891 /  7,0.891 / 0.891 /  6,0.953 / 1.261 /  6,0.891 / 0.891 /  9,0.891 / 0.891 /  6
4,2-2,1.359 / 1.359 /  8,1.399 / 1.513 /  8,1.380 / 1.513 /  8,1.084 / 1.084 /  8,1.375 / 1.513 / 11
5,2-3,0.902 / 1.023 /  4,0.862 / 0.862 /  6,0.882 / 1.023 /  8,0.862 / 0.862 /  5,0.916 / 1.023 /  6
6,2-4,0.907 / 0.907 /  6,0.918 / 0.952 /  8,0.907 / 0.907 /  8,0.914 / 0.952 /  7,0.907 / 0.907 /  8
7,2-5,0.618 / 0.831 / 10,0.594 / 0.594 /  9,0.594 / 0.594 /  5,0.594 / 0.594 /  6,0.628 / 0.831 /  7
8,2-6,1.202 / 1.286 /  7,1.169 / 1.169 /  8,1.208 / 1.286 /  9,1.169 / 1.169 /  7,1.198 / 1.286 /  8
9,2-7,1.367 / 1.642 /  8,1.417 / 1.642 /  7,1.327 / 1.327 /  5,1.091 / 1.374 / 10,1.397 / 1.642 /  9
