,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.011 / 1.048 /  9,1.056 / 1.309 /  9,1.159 / 1.309 /  9,1.034 / 1.309 /  9,1.000 / 1.000 /  9
1,1-1,1.468 / 1.468 /  9,1.516 / 1.898 /  9,1.659 / 1.898 /  9,1.516 / 1.898 /  9,1.468 / 1.468 /  9
2,2-0,0.683 / 0.683 /  7,0.707 / 0.895 /  9,0.739 / 0.985 /  9,0.683 / 0.683 /  9,0.693 / 0.773 /  9
3,2-1,1.015 / 1.160 /  7,0.991 / 0.991 /  6,0.991 / 0.991 /  8,0.991 / 0.991 /  7,1.019 / 1.160 /  6
4,2-2,0.888 / 0.888 /  7,0.934 / 1.255 /  8,0.888 / 0.888 /  9,0.888 / 0.888 /  8,0.888 / 0.888 /  8
5,2-3,0.728 / 0.978 /  9,0.697 / 0.697 /  5,0.767 / 0.978 /  4,0.799 / 0.998 / 10,0.761 / 0.996 /  9
6,2-4,0.895 / 0.895 /  7,0.895 / 0.895 /  8,0.895 / 0.895 /  7,0.895 / 0.895 /  6,0.895 / 0.895 /  7
7,2-5,0.952 / 1.279 /  7,0.898 / 0.898 /  8,0.898 / 0.898 /  9,1.015 / 1.287 /  9,1.026 / 1.287 /  9
8,2-6,0.643 / 0.643 /  6,0.643 / 0.643 /  4,0.739 / 0.898 /  8,0.707 / 0.898 /  4,0.643 / 0.643 /  8
9,2-7,0.755 / 0.941 /  6,0.675 / 0.675 /  6,0.719 / 0.941 /  6,0.706 / 0.890 /  7,0.705 / 0.941 /  9
