,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.157 / 1.290 /  9,1.136 / 1.136 /  9,1.173 / 1.470 /  9,1.060 / 1.270 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.499 / 1.509 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,2-0,0.893 / 0.893 /  9,1.015 / 1.015 /  7,0.950 / 1.015 /  3,0.929 / 1.180 /  8,0.893 / 0.893 /  7
3,2-1,0.908 / 0.908 /  6,1.004 / 1.289 /  8,0.908 / 0.908 /  6,0.908 / 0.908 /  4,0.908 / 0.908 /  7
4,2-2,0.716 / 0.716 /  5,0.816 / 1.238 /  8,0.716 / 0.716 /  4,0.871 / 0.994 /  5,0.716 / 0.716 /  9
5,2-3,0.774 / 1.056 /  8,0.734 / 0.734 / 11,0.844 / 1.097 /  9,0.788 / 1.056 /  6,0.774 / 1.056 /  8
6,2-4,1.164 / 1.708 /  7,1.018 / 1.342 / 10,1.076 / 1.076 /  7,0.940 / 0.940 /  7,1.083 / 1.333 /  8
7,2-5,1.162 / 1.162 /  2,1.315 / 1.315 /  2,0.956 / 1.300 /  7,1.162 / 1.162 /  7,1.188 / 1.344 /  7
8,2-6,0.893 / 0.893 /  8,0.893 / 0.893 /  7,0.893 / 0.893 / 10,1.051 / 1.249 /  9,0.893 / 0.893 /  7
9,2-7,1.030 / 1.120 /  7,1.154 / 1.154 /  8,1.144 / 1.269 / 10,1.068 / 1.334 /  6,1.014 / 1.014 /  4
