,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.029 / 1.262 /  9,1.146 / 1.350 /  9,1.058 / 1.117 /  9,1.030 / 1.262 /  9,1.068 / 1.262 /  9
1,1-1,1.139 / 1.354 /  9,1.094 / 1.106 /  9,1.179 / 1.325 /  9,1.079 / 1.354 /  9,1.000 / 1.000 /  9
2,2-0,0.919 / 0.919 /  6,1.009 / 1.027 /  6,0.937 / 1.027 /  6,1.030 / 1.216 /  8,0.919 / 0.919 /  6
3,2-1,1.130 / 1.130 /  9,1.231 / 1.231 /  7,1.201 / 1.267 / 10,1.130 / 1.130 /  6,1.130 / 1.130 /  7
4,2-2,0.941 / 0.941 /  4,0.941 / 0.941 /  5,1.016 / 1.168 /  6,0.941 / 0.941 / 12,0.941 / 0.941 /  9
5,2-3,0.908 / 0.908 /  7,0.995 / 1.006 /  9,1.182 / 1.366 /  4,0.957 / 1.250 /  7,0.958 / 1.160 /  5
6,2-4,1.358 / 1.358 /  6,1.454 / 1.493 /  9,1.365 / 1.493 /  7,1.383 / 1.536 /  7,1.358 / 1.358 /  5
7,2-5,0.952 / 0.952 /  3,1.013 / 1.379 /  7,1.226 / 1.226 /  7,0.952 / 0.952 /  7,0.952 / 0.952 / 10
8,2-6,0.909 / 0.909 /  6,1.002 / 1.008 /  8,0.921 / 1.001 /  8,0.924 / 1.028 /  8,0.909 / 0.909 /  8
9,2-7,0.989 / 1.347 /  7,0.976 / 1.347 /  9,1.197 / 1.197 /  9,0.930 / 0.930 /  9,1.076 / 1.319 /  8
