,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.138 / 2.671 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.366 / 1.998 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.627 / 2.927 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.912 / 2.865 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.422 / 1.422 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.499 / 3.230 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,1-6,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.285 / 1.665 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,13.152 / 555.266 / 99 / 99,-1.000 / -1.000 / 0 / 99
8,2-0,-1.000 / -1.000 / 0 / 70,-1.000 / -1.000 / 0 / 42,2.076 / 2.965 / 41 / 41,-1.000 / -1.000 / 0 / 53
9,2-1,-1.000 / -1.000 / 0 / 20,-1.000 / -1.000 / 0 / 66,1.218 / 1.395 / 58 / 58,-1.000 / -1.000 / 0 / 53
10,2-2,-1.000 / -1.000 / 0 / 44,-1.000 / -1.000 / 0 / 30,1.695 / 2.021 / 59 / 59,-1.000 / -1.000 / 0 / 34
11,2-3,-1.000 / -1.000 / 0 / 51,-1.000 / -1.000 / 0 / 49,2.703 / 3.276 / 59 / 59,-1.000 / -1.000 / 0 / 44
12,2-4,-1.000 / -1.000 / 0 / 30,-1.000 / -1.000 / 0 / 40,0.815 / 1.123 / 60 / 60,-1.000 / -1.000 / 0 / 61
13,2-5,-1.000 / -1.000 / 0 / 55,-1.000 / -1.000 / 0 / 57,1.056 / 2.012 / 43 / 43,-1.000 / -1.000 / 0 / 72
14,2-6,-1.000 / -1.000 / 0 / 75,-1.000 / -1.000 / 0 / 26,1.876 / 2.360 / 59 / 59,-1.000 / -1.000 / 0 / 40
15,2-7,-1.000 / -1.000 / 0 / 55,-1.000 / -1.000 / 0 / 53,2.586 / 3.469 / 42 / 42,-1.000 / -1.000 / 0 / 55
16,2-8,-1.000 / -1.000 / 0 / 34,-1.000 / -1.000 / 0 / 42,2.161 / 2.584 / 37 / 37,-1.000 / -1.000 / 0 / 42
17,2-9,-1.000 / -1.000 / 0 / 57,-1.000 / -1.000 / 0 / 33,2.364 / 2.657 / 72 / 72,-1.000 / -1.000 / 0 / 45
18,2-10,-1.000 / -1.000 / 0 / 71,-1.000 / -1.000 / 0 / 54,1.930 / 2.682 / 52 / 52,-1.000 / -1.000 / 0 / 39
19,2-11,-1.000 / -1.000 / 0 / 5,-1.000 / -1.000 / 0 / 46,0.872 / 0.896 / 22 / 22,-1.000 / -1.000 / 0 / 43
20,2-12,-1.000 / -1.000 / 0 / 52,-1.000 / -1.000 / 0 / 52,0.960 / 1.249 / 16 / 16,-1.000 / -1.000 / 0 / 35
21,2-13,-1.000 / -1.000 / 0 / 57,-1.000 / -1.000 / 0 / 50,1.033 / 1.564 / 59 / 59,-1.000 / -1.000 / 0 / 40
22,2-14,-1.000 / -1.000 / 0 / 49,-1.000 / -1.000 / 0 / 32,1.844 / 2.063 / 52 / 52,-1.000 / -1.000 / 0 / 86
23,2-15,-1.000 / -1.000 / 0 / 50,-1.000 / -1.000 / 0 / 29,0.988 / 1.569 / 42 / 42,-1.000 / -1.000 / 0 / 55
24,2-16,-1.000 / -1.000 / 0 / 67,-1.000 / -1.000 / 0 / 32,0.898 / 0.898 / 35 / 35,-1.000 / -1.000 / 0 / 47
25,2-17,-1.000 / -1.000 / 0 / 56,-1.000 / -1.000 / 0 / 47,1.046 / 1.453 / 43 / 43,-1.000 / -1.000 / 0 / 63
26,2-18,-1.000 / -1.000 / 0 / 39,-1.000 / -1.000 / 0 / 79,1.539 / 2.155 / 68 / 68,-1.000 / -1.000 / 0 / 57
27,2-19,-1.000 / -1.000 / 0 / 41,-1.000 / -1.000 / 0 / 65,0.776 / 1.008 / 60 / 60,-1.000 / -1.000 / 0 / 57
28,2-20,-1.000 / -1.000 / 0 / 13,-1.000 / -1.000 / 0 / 58,2.193 / 2.579 / 41 / 41,-1.000 / -1.000 / 0 / 43
29,2-21,-1.000 / -1.000 / 0 / 46,-1.000 / -1.000 / 0 / 51,1.304 / 2.930 / 41 / 41,-1.000 / -1.000 / 0 / 33
30,2-22,-1.000 / -1.000 / 0 / 66,-1.000 / -1.000 / 0 / 55,0.984 / 1.064 / 57 / 57,-1.000 / -1.000 / 0 / 30
31,2-23,-1.000 / -1.000 / 0 / 46,-1.000 / -1.000 / 0 / 61,3.055 / 3.407 / 42 / 42,-1.000 / -1.000 / 0 / 48
32,2-24,-1.000 / -1.000 / 0 / 25,-1.000 / -1.000 / 0 / 48,1.817 / 2.821 / 65 / 65,-1.000 / -1.000 / 0 / 62
33,2-25,-1.000 / -1.000 / 0 / 61,-1.000 / -1.000 / 0 / 33,1.536 / 2.202 / 43 / 43,-1.000 / -1.000 / 0 / 41
34,2-26,-1.000 / -1.000 / 0 / 40,-1.000 / -1.000 / 0 / 37,1.177 / 1.541 / 33 / 33,-1.000 / -1.000 / 0 / 45
35,2-27,-1.000 / -1.000 / 0 / 38,-1.000 / -1.000 / 0 / 46,1.241 / 2.922 / 24 / 24,-1.000 / -1.000 / 0 / 57
36,2-28,-1.000 / -1.000 / 0 / 27,-1.000 / -1.000 / 0 / 62,2.830 / 2.984 / 46 / 46,-1.000 / -1.000 / 0 / 51
37,2-29,-1.000 / -1.000 / 0 / 52,-1.000 / -1.000 / 0 / 45,1.831 / 2.140 / 49 / 49,-1.000 / -1.000 / 0 / 67
38,2-30,-1.000 / -1.000 / 0 / 58,-1.000 / -1.000 / 0 / 62,1.610 / 2.245 / 22 / 22,-1.000 / -1.000 / 0 / 49
39,2-31,-1.000 / -1.000 / 0 / 57,-1.000 / -1.000 / 0 / 74,1.507 / 1.794 / 26 / 26,-1.000 / -1.000 / 0 / 31
