,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,2.052 / 2.494 / 99 / 99,1.490 / 1.943 / 99 / 99,1.461 / 2.012 / 99 / 99,2.017 / 2.494 / 99 / 99
1,1-1,1.072 / 1.156 / 99 / 99,1.097 / 1.234 / 99 / 99,1.123 / 1.243 / 99 / 99,1.083 / 1.156 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.003 / 1.265 / 99 / 99,1.003 / 1.265 / 99 / 99,1.000 / 1.000 / 99 / 99
3,1-3,1.198 / 1.344 / 99 / 99,1.160 / 1.344 / 99 / 99,1.191 / 1.344 / 99 / 99,1.184 / 1.344 / 99 / 99
4,1-4,1.160 / 1.278 / 99 / 99,1.208 / 1.357 / 99 / 99,1.678 / 1.809 / 99 / 99,1.158 / 1.397 / 99 / 99
5,2-0,0.888 / 0.888 / 46 / 46,0.973 / 0.973 / 47 / 47,1.616 / 1.759 / 48 / 48,0.900 / 1.522 / 54 / 54
6,2-1,1.406 / 1.441 / 53 / 53,1.468 / 1.517 / 49 / 49,0.931 / 1.263 / 59 / 59,1.413 / 1.441 / 38 / 38
7,2-2,2.025 / 2.482 / 56 / 56,1.789 / 1.933 / 52 / 52,1.395 / 1.766 / 46 / 46,1.978 / 2.482 / 43 / 43
8,2-3,1.679 / 1.851 / 46 / 46,1.642 / 2.255 / 44 / 44,1.759 / 2.210 / 65 / 65,1.606 / 2.029 / 57 / 57
9,2-4,1.550 / 2.082 / 44 / 44,1.116 / 1.658 / 61 / 61,1.135 / 1.658 / 33 / 33,1.619 / 2.082 / 44 / 44
10,2-5,0.831 / 1.110 / 54 / 54,0.951 / 1.110 / 38 / 38,0.856 / 1.110 / 38 / 38,0.914 / 1.110 / 57 / 57
11,2-6,1.251 / 1.406 / 47 / 47,1.144 / 1.406 / 58 / 58,1.876 / 2.105 / 29 / 29,1.164 / 1.406 / 41 / 41
12,2-7,0.889 / 0.889 / 56 / 56,0.889 / 0.889 / 45 / 45,0.889 / 0.889 / 55 / 55,0.889 / 0.889 / 52 / 52
13,2-8,2.120 / 2.120 / 52 / 52,1.620 / 1.650 / 42 / 42,1.624 / 1.650 / 43 / 43,2.120 / 2.120 / 48 / 48
14,2-9,2.171 / 2.536 / 76 / 76,1.987 / 2.042 / 66 / 66,1.341 / 1.397 / 31 / 31,2.112 / 2.536 / 57 / 57
