,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.247 / 1.247 / 99 / 99,1.247 / 1.247 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.354 / 1.354 / 99 / 99,2.086 / 2.111 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,1.072 / 1.284 / 99 / 99,1.228 / 1.380 / 99 / 99,1.448 / 1.665 / 99 / 99,1.161 / 1.284 / 99 / 99
3,1-3,1.387 / 1.590 / 99 / 99,1.643 / 1.789 / 99 / 99,1.913 / 1.960 / 99 / 99,1.472 / 1.590 / 99 / 99
4,1-4,1.207 / 1.283 / 99 / 99,1.112 / 1.283 / 99 / 99,1.208 / 2.001 / 99 / 99,1.154 / 1.283 / 99 / 99
5,2-0,1.930 / 1.930 / 30 / 30,1.636 / 1.636 / 42 / 42,1.636 / 1.636 / 38 / 38,1.915 / 1.930 / 71 / 71
6,2-1,0.909 / 0.909 / 24 / 24,1.087 / 1.087 / 45 / 45,1.300 / 1.300 / 37 / 37,0.909 / 0.909 / 55 / 55
7,2-2,1.756 / 2.484 / 48 / 48,1.402 / 1.944 / 60 / 60,1.306 / 1.944 / 56 / 56,1.784 / 2.484 / 72 / 72
8,2-3,0.702 / 0.702 / 53 / 53,1.039 / 1.346 / 70 / 70,1.381 / 1.619 / 54 / 54,0.702 / 0.702 / 61 / 61
9,2-4,0.908 / 0.908 / 58 / 58,0.908 / 0.908 / 42 / 42,0.908 / 0.908 / 40 / 40,0.908 / 0.908 / 45 / 45
10,2-5,1.585 / 1.612 / 51 / 51,1.367 / 1.442 / 42 / 42,1.362 / 1.442 / 58 / 58,1.557 / 1.612 / 45 / 45
11,2-6,1.008 / 1.088 / 70 / 70,1.001 / 1.198 / 35 / 35,1.353 / 1.506 / 25 / 25,1.044 / 1.088 / 56 / 56
12,2-7,1.225 / 1.571 / 48 / 48,1.848 / 2.443 / 55 / 55,1.653 / 1.943 / 32 / 32,1.081 / 1.236 / 32 / 32
13,2-8,1.161 / 1.712 / 62 / 62,1.091 / 1.712 / 72 / 72,1.141 / 1.743 / 28 / 28,1.023 / 1.449 / 54 / 54
14,2-9,1.511 / 1.932 / 53 / 53,1.258 / 1.459 / 62 / 62,1.056 / 1.513 / 68 / 68,1.609 / 2.210 / 39 / 39
