,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.015 / 1.132 /  9,1.027 / 1.123 /  9,1.388 / 1.495 /  9,1.212 / 1.252 /  9,1.377 / 1.377 /  9
1,1-1,0.860 / 1.068 /  9,1.050 / 1.399 /  9,0.930 / 1.850 /  9,0.803 / 1.000 /  9,0.803 / 1.000 /  9
2,1-2,1.388 / 1.677 /  9,1.424 / 1.677 /  9,1.388 / 1.677 /  9,1.442 / 1.442 /  9,2.054 / 2.054 /  9
3,1-3,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.725 / 1.816 /  9,1.376 / 1.376 /  9,1.376 / 1.376 /  9
4,1-4,1.739 / 2.029 /  9,1.775 / 2.029 /  9,1.739 / 2.029 /  9,1.794 / 1.794 /  9,1.703 / 1.703 /  9
5,2-0,0.895 / 0.895 /  6,0.895 / 0.895 /  4,1.452 / 1.452 /  8,0.895 / 0.895 /  7,0.895 / 0.895 /  6
6,2-1,1.036 / 1.036 /  7,1.036 / 1.036 /  8,1.739 / 1.739 /  6,1.255 / 1.255 /  6,1.282 / 1.491 /  9
7,2-2,0.896 / 0.906 /  8,0.895 / 0.895 /  5,0.895 / 0.895 /  3,1.036 / 1.885 /  7,0.895 / 0.895 /  6
8,2-3,0.933 / 0.933 /  7,0.933 / 0.933 /  9,0.933 / 0.933 /  8,0.967 / 1.206 /  8,0.933 / 0.933 / 10
9,2-4,1.329 / 1.329 /  9,1.329 / 1.329 /  5,1.733 / 1.733 /  4,1.199 / 1.199 /  7,1.219 / 1.336 /  7
10,2-5,1.242 / 1.242 /  8,1.264 / 1.421 /  8,0.971 / 0.971 / 10,0.829 / 1.147 / 10,0.823 / 1.116 / 11
11,2-6,0.945 / 0.945 /  9,1.064 / 1.302 /  7,1.091 / 1.128 /  5,1.016 / 1.302 /  5,0.945 / 0.945 /  9
12,2-7,0.937 / 0.937 /  4,0.937 / 0.937 /  6,0.937 / 0.937 /  5,0.937 / 0.937 /  4,0.937 / 0.937 /  5
13,2-8,1.279 / 1.589 /  8,1.235 / 1.235 /  8,1.504 / 1.581 /  9,1.330 / 1.432 /  9,1.235 / 1.235 /  6
14,2-9,0.894 / 0.894 /  5,0.894 / 0.894 /  8,1.280 / 1.280 / 10,1.100 / 1.100 /  9,1.340 / 1.570 /  5
