,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.394 / 1.738 /  9,1.038 / 1.341 /  9,1.198 / 1.198 /  9,1.588 / 1.588 /  9,1.000 / 1.000 /  9
1,1-1,1.588 / 1.948 /  9,1.407 / 1.424 /  9,1.834 / 1.834 /  9,1.276 / 1.276 /  9,1.578 / 1.578 /  9
2,1-2,1.000 / 1.000 /  9,1.427 / 1.563 /  9,1.662 / 1.662 /  9,1.000 / 1.000 /  9,1.480 / 1.480 /  9
3,1-3,1.382 / 1.677 /  9,1.059 / 1.265 /  9,1.398 / 1.447 /  9,1.029 / 1.265 /  9,1.299 / 1.337 /  9
4,1-4,1.149 / 1.312 /  9,1.609 / 1.729 /  9,1.782 / 1.782 /  9,1.000 / 1.000 /  9,1.312 / 1.312 /  9
5,2-0,1.702 / 1.792 /  7,0.998 / 1.009 /  4,0.984 / 0.984 /  6,0.984 / 0.984 / 10,0.994 / 0.994 /  5
6,2-1,1.746 / 2.069 /  8,0.997 / 0.997 /  8,0.987 / 0.987 /  8,0.987 / 0.987 /  7,0.997 / 0.997 /  9
7,2-2,1.359 / 1.499 / 10,1.143 / 1.148 /  6,1.178 / 1.320 /  5,1.311 / 1.344 /  7,1.171 / 1.171 /  5
8,2-3,0.930 / 0.930 /  9,0.930 / 0.930 /  6,0.930 / 0.930 /  5,0.930 / 0.930 /  9,1.994 / 2.117 /  9
9,2-4,1.901 / 1.901 /  6,0.888 / 0.888 /  5,0.888 / 0.888 /  6,1.938 / 2.268 / 10,0.888 / 0.888 /  9
10,2-5,1.424 / 1.766 /  8,0.972 / 1.259 /  9,0.891 / 0.891 /  8,1.246 / 1.532 /  7,1.375 / 1.649 /  7
11,2-6,1.650 / 1.650 /  6,0.992 / 1.246 /  7,1.090 / 1.207 / 10,1.674 / 1.813 /  7,0.890 / 0.890 /  5
12,2-7,1.681 / 1.924 /  9,0.810 / 1.065 /  9,0.753 / 0.753 /  7,1.612 / 1.612 /  6,0.816 / 1.065 /  5
13,2-8,1.393 / 1.747 /  9,1.161 / 1.298 /  9,1.278 / 1.547 /  9,1.348 / 1.348 /  4,1.725 / 2.062 /  7
14,2-9,0.890 / 0.890 /  9,0.890 / 0.890 /  6,1.288 / 1.454 /  7,1.489 / 1.791 /  5,0.954 / 1.276 /  6
