,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.050 / 1.223 /  9,1.223 / 1.365 /  9,1.255 / 1.555 /  9,1.359 / 1.419 /  9,1.206 / 1.210 /  9
1,1-1,1.000 / 1.000 /  9,1.207 / 1.954 /  9,1.652 / 1.885 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.323 / 1.323 /  9,1.280 / 1.370 /  9,1.542 / 1.631 /  9,1.349 / 1.370 /  9,1.275 / 1.746 /  9
3,1-3,1.000 / 1.000 /  9,1.849 / 2.185 /  9,1.290 / 1.829 /  9,1.040 / 1.357 /  9,1.126 / 1.141 /  9
4,1-4,1.032 / 1.284 /  9,1.080 / 1.266 /  9,1.680 / 1.680 /  9,1.015 / 1.266 /  9,1.566 / 1.787 /  9
5,2-0,0.971 / 1.148 /  6,0.920 / 1.075 /  9,1.288 / 1.288 /  7,0.894 / 0.894 /  7,1.133 / 1.133 /  8
6,2-1,0.952 / 1.024 /  6,0.987 / 1.100 / 11,1.513 / 1.513 /  9,1.054 / 1.232 /  7,1.120 / 1.224 /  7
7,2-2,0.929 / 0.929 /  5,1.178 / 1.839 /  9,1.691 / 1.691 / 10,1.131 / 1.956 /  9,1.186 / 1.186 /  9
8,2-3,1.022 / 1.022 /  6,0.783 / 0.783 /  7,0.853 / 1.131 /  5,0.783 / 0.783 /  8,1.022 / 1.022 /  9
9,2-4,0.894 / 0.894 / 11,0.894 / 0.894 /  6,1.296 / 1.296 /  7,0.894 / 0.894 /  8,0.894 / 0.894 /  6
10,2-5,0.909 / 0.909 /  4,0.883 / 0.883 / 10,1.587 / 1.753 /  8,0.903 / 1.047 /  8,1.397 / 1.579 /  7
11,2-6,0.929 / 0.929 /  6,1.231 / 1.231 /  4,1.041 / 1.231 /  8,1.231 / 1.231 /  7,0.929 / 0.929 /  8
12,2-7,0.936 / 0.936 /  9,0.979 / 1.036 /  5,0.742 / 0.751 /  6,0.936 / 0.936 /  4,0.791 / 0.791 /  4
13,2-8,0.986 / 1.236 / 10,0.706 / 0.706 /  6,1.108 / 1.298 /  9,0.800 / 0.990 /  6,0.940 / 0.940 /  4
14,2-9,1.198 / 1.198 /  7,0.919 / 0.919 /  6,0.919 / 0.919 /  7,0.919 / 0.919 /  6,1.198 / 1.198 /  5
