,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.278 / 1.471 / 99 / 99,1.345 / 1.471 / 99 / 99,1.066 / 1.815 / 99 / 99,1.314 / 1.460 / 99 / 99
1,1-1,1.171 / 1.383 / 99 / 99,1.201 / 1.375 / 99 / 99,1.167 / 1.542 / 99 / 99,1.204 / 1.375 / 99 / 99
2,1-2,1.490 / 1.996 / 99 / 99,1.499 / 1.996 / 99 / 99,1.441 / 1.968 / 99 / 99,1.509 / 2.014 / 99 / 99
3,1-3,2.088 / 2.354 / 99 / 99,2.120 / 2.354 / 99 / 99,2.105 / 2.449 / 99 / 99,2.141 / 2.468 / 99 / 99
4,2-0,2.035 / 2.321 / 27 / 27,2.017 / 2.290 / 59 / 59,2.114 / 2.238 / 44 / 44,1.145 / 1.224 / 29 / 29
5,2-1,1.218 / 1.553 / 26 / 26,1.167 / 1.553 / 35 / 35,1.452 / 1.909 / 36 / 36,1.292 / 1.573 / 82 / 82
6,2-2,1.551 / 1.869 / 39 / 39,1.575 / 2.004 / 45 / 45,1.758 / 2.185 / 55 / 55,1.644 / 2.004 / 42 / 42
7,2-3,0.952 / 0.952 / 45 / 45,0.952 / 0.952 / 52 / 52,1.221 / 1.247 / 40 / 40,1.044 / 1.986 / 55 / 55
8,2-4,1.513 / 1.644 / 57 / 57,1.532 / 1.644 / 52 / 52,1.522 / 1.712 / 37 / 37,1.517 / 1.633 / 55 / 55
9,2-5,2.269 / 2.454 / 38 / 38,1.802 / 2.066 / 29 / 29,1.807 / 2.022 / 20 / 20,2.129 / 2.371 / 39 / 39
10,2-6,1.680 / 2.582 / 57 / 57,1.779 / 2.531 / 64 / 64,1.938 / 2.782 / 53 / 53,1.706 / 2.416 / 43 / 43
11,2-7,1.390 / 1.805 / 67 / 67,1.215 / 1.551 / 36 / 36,1.222 / 1.765 / 67 / 67,1.178 / 1.586 / 30 / 30
12,2-8,1.271 / 1.643 / 39 / 39,1.324 / 1.452 / 30 / 30,1.306 / 1.306 / 48 / 48,0.643 / 0.643 / 50 / 50
13,2-9,2.002 / 2.932 / 40 / 40,1.773 / 2.399 / 57 / 57,1.746 / 2.029 / 56 / 56,1.694 / 1.983 / 36 / 36
14,2-10,1.383 / 1.476 / 60 / 60,1.385 / 1.476 / 40 / 40,0.842 / 0.862 / 65 / 71,1.435 / 1.476 / 59 / 59
15,2-11,1.954 / 2.454 / 49 / 49,1.936 / 2.392 / 40 / 40,1.560 / 2.351 / 60 / 60,1.995 / 2.405 / 51 / 51
