,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.318 / 1.747 / 99 / 99,6761.399 / 14295.721 / 74 / 99,1.343 / 1.761 / 99 / 99,1.273 / 1.747 / 99 / 99
1,1-1,1.348 / 1.628 / 99 / 99,10475.209 / 22894.535 / 47 / 99,1.422 / 1.852 / 99 / 99,1.303 / 1.628 / 99 / 99
2,1-2,1.586 / 1.774 / 99 / 99,26104.772 / 52209.455 / 122432 / 99,1.828 / 1.980 / 99 / 99,1.575 / 1.774 / 99 / 99
3,1-3,2.084 / 2.281 / 99 / 99,16683.349 / 42261.033 / 19 / 99,2.336 / 2.495 / 99 / 99,2.073 / 2.281 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,16579.512 / 38467.281 / 29 / 99,1.699 / 1.916 / 99 / 99,1.000 / 1.000 / 99 / 99
5,2-0,1.305 / 1.796 / 46 / 46,1.281 / 1.692 / 72 / 72,0.836 / 1.125 / 23 / 23,1.203 / 1.796 / 45 / 45
6,2-1,1.068 / 1.313 / 47 / 47,4348.368 / 12611.507 / 14 / 31,0.759 / 0.759 / 55 / 55,1.098 / 1.313 / 44 / 44
7,2-2,1.015 / 1.319 / 50 / 50,1.087 / 1.319 / 31 / 31,1.104 / 1.416 / 34 / 34,0.961 / 1.319 / 58 / 58
8,2-3,1.173 / 1.641 / 60 / 60,1.134 / 1.586 / 40 / 40,0.846 / 1.366 / 38 / 38,1.213 / 1.641 / 48 / 48
9,2-4,1.131 / 1.185 / 34 / 34,21983.356 / 34713.677 / 8 / 46,0.932 / 1.202 / 46 / 46,1.158 / 1.185 / 43 / 43
