,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.668 / 2.323 / 99 / 99,5359.230 / 10867.769 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.629 / 2.392 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,1.538 / 2.031 / 99 / 99,1.640 / 2.121 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.476 / 2.031 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,1.444 / 1.923 / 99 / 99,3.480 / 4.080 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.615 / 2.195 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,1.142 / 1.351 / 99 / 99,1.669 / 2.208 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.213 / 1.351 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,1.000 / 1.000 / 99 / 99,6235.595 / 12647.875 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,1.000 / 1.000 / 99 / 99,1.264 / 1.337 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,1-6,1.665 / 2.345 / 99 / 99,2.580 / 3.135 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.613 / 2.136 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,1.562 / 1.907 / 99 / 99,5766.077 / 11695.283 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.749 / 2.052 / 99 / 99,-1.000 / -1.000 / 0 / 99
8,1-8,1.989 / 2.424 / 99 / 99,1.991 / 2.285 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.001 / 2.412 / 99 / 99,-1.000 / -1.000 / 0 / 99
9,1-9,1.129 / 1.304 / 99 / 99,1.581 / 1.856 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.285 / 1.465 / 99 / 99,-1.000 / -1.000 / 0 / 99
10,1-10,1.566 / 2.199 / 99 / 99,5798.272 / 11759.577 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.457 / 1.991 / 99 / 99,-1.000 / -1.000 / 0 / 99
11,1-11,1.000 / 1.000 / 99 / 99,1.251 / 1.947 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
12,1-12,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
13,1-13,1.732 / 1.953 / 99 / 99,5952.504 / 12069.102 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.584 / 1.951 / 99 / 99,-1.000 / -1.000 / 0 / 99
14,1-14,2.329 / 2.846 / 99 / 99,5669.853 / 11479.767 / 77 / 99,-1.000 / -1.000 / 0 / 99,2.411 / 2.526 / 99 / 99,-1.000 / -1.000 / 0 / 99
15,1-15,2.252 / 2.834 / 99 / 99,7302.172 / 14810.553 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.877 / 2.806 / 99 / 99,-1.000 / -1.000 / 0 / 99
16,1-16,1.857 / 1.992 / 99 / 99,6018.083 / 12200.560 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.952 / 1.972 / 99 / 99,-1.000 / -1.000 / 0 / 99
17,1-17,1.341 / 1.877 / 99 / 99,1.479 / 1.846 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.612 / 2.141 / 99 / 99,-1.000 / -1.000 / 0 / 99
18,1-18,1.571 / 1.973 / 99 / 99,7241.153 / 14687.322 / 71 / 99,-1.000 / -1.000 / 0 / 99,1.637 / 1.973 / 99 / 99,-1.000 / -1.000 / 0 / 99
