,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,2.061 / 2.612 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.826 / 2.612 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,1.106 / 1.375 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.076 / 1.375 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,1.532 / 2.102 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.537 / 2.168 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,1.347 / 1.625 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.351 / 1.625 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,1.609 / 2.127 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.651 / 1.870 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,1-6,1.231 / 1.374 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.136 / 1.330 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,1.285 / 1.332 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.348 / 1.406 / 99 / 99,-1.000 / -1.000 / 0 / 99
8,1-8,2.235 / 2.631 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.911 / 2.232 / 99 / 99,-1.000 / -1.000 / 0 / 99
9,1-9,1.678 / 2.139 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.843 / 2.139 / 99 / 99,-1.000 / -1.000 / 0 / 99
10,1-10,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
11,1-11,1.075 / 1.225 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.066 / 1.225 / 99 / 99,-1.000 / -1.000 / 0 / 99
12,1-12,1.347 / 1.631 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.161 / 1.536 / 99 / 99,-1.000 / -1.000 / 0 / 99
13,1-13,1.575 / 1.649 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.878 / 1.939 / 99 / 99,-1.000 / -1.000 / 0 / 99
14,1-14,1.143 / 1.295 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.173 / 1.865 / 99 / 99,-1.000 / -1.000 / 0 / 99
15,1-15,1.188 / 1.431 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.446 / 1.747 / 99 / 99,-1.000 / -1.000 / 0 / 99
16,1-16,1.075 / 1.422 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.538 / 1.723 / 99 / 99,-1.000 / -1.000 / 0 / 99
17,1-17,1.874 / 2.401 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.882 / 2.375 / 99 / 99,-1.000 / -1.000 / 0 / 99
18,1-18,1.482 / 1.693 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.458 / 1.693 / 99 / 99,-1.000 / -1.000 / 0 / 99
19,1-19,1.733 / 2.237 / 91 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.838 / 2.273 / 99 / 99,-1.000 / -1.000 / 0 / 99
20,2-0,0.931 / 0.931 / 21 / 21,-1.000 / -1.000 / 0 / 69,-1.000 / -1.000 / 0 / 38,0.940 / 1.293 / 39 / 39,-1.000 / -1.000 / 0 / 51
21,2-1,1.610 / 2.086 / 57 / 57,-1.000 / -1.000 / 0 / 35,-1.000 / -1.000 / 0 / 52,1.594 / 2.112 / 43 / 43,-1.000 / -1.000 / 0 / 61
22,2-2,1.725 / 2.508 / 47 / 47,-1.000 / -1.000 / 0 / 53,-1.000 / -1.000 / 0 / 17,1.772 / 2.515 / 38 / 38,-1.000 / -1.000 / 0 / 51
23,2-3,1.496 / 2.289 / 51 / 51,-1.000 / -1.000 / 0 / 30,-1.000 / -1.000 / 0 / 48,1.553 / 2.239 / 55 / 55,-1.000 / -1.000 / 0 / 49
24,2-4,2.716 / 3.432 / 74 / 74,-1.000 / -1.000 / 0 / 35,-1.000 / -1.000 / 0 / 51,2.489 / 3.123 / 57 / 57,-1.000 / -1.000 / 0 / 26
25,2-5,1.526 / 2.667 / 57 / 71,-1.000 / -1.000 / 0 / 71,-1.000 / -1.000 / 0 / 55,1.664 / 2.467 / 44 / 47,-1.000 / -1.000 / 0 / 45
26,2-6,1.811 / 2.324 / 59 / 59,-1.000 / -1.000 / 0 / 81,-1.000 / -1.000 / 0 / 45,1.865 / 2.263 / 73 / 73,-1.000 / -1.000 / 0 / 10
27,2-7,1.205 / 1.276 / 59 / 59,-1.000 / -1.000 / 0 / 74,-1.000 / -1.000 / 0 / 39,1.189 / 1.276 / 69 / 69,-1.000 / -1.000 / 0 / 18
28,2-8,0.996 / 1.293 / 27 / 27,-1.000 / -1.000 / 0 / 43,-1.000 / -1.000 / 0 / 61,1.113 / 1.125 / 20 / 20,-1.000 / -1.000 / 0 / 63
29,2-9,1.956 / 2.156 / 47 / 47,-1.000 / -1.000 / 0 / 50,-1.000 / -1.000 / 0 / 30,1.417 / 1.700 / 56 / 56,-1.000 / -1.000 / 0 / 63
30,2-10,1.287 / 2.003 / 40 / 40,-1.000 / -1.000 / 0 / 21,-1.000 / -1.000 / 0 / 44,1.532 / 2.368 / 47 / 47,-1.000 / -1.000 / 0 / 57
31,2-11,1.316 / 1.461 / 54 / 54,-1.000 / -1.000 / 0 / 24,-1.000 / -1.000 / 0 / 44,0.944 / 0.946 / 41 / 41,-1.000 / -1.000 / 0 / 48
32,2-12,0.909 / 0.909 / 75 / 75,-1.000 / -1.000 / 0 / 43,-1.000 / -1.000 / 0 / 58,0.909 / 0.909 / 78 / 78,-1.000 / -1.000 / 0 / 16
33,2-13,1.131 / 1.674 / 61 / 61,-1.000 / -1.000 / 0 / 61,-1.000 / -1.000 / 0 / 58,1.214 / 1.462 / 31 / 31,-1.000 / -1.000 / 0 / 64
34,2-14,1.221 / 1.238 / 46 / 46,-1.000 / -1.000 / 0 / 35,-1.000 / -1.000 / 0 / 55,1.397 / 1.623 / 44 / 44,-1.000 / -1.000 / 0 / 47
35,2-15,0.927 / 1.289 / 49 / 49,-1.000 / -1.000 / 0 / 27,-1.000 / -1.000 / 0 / 62,0.920 / 0.920 / 60 / 60,-1.000 / -1.000 / 0 / 52
36,2-16,2.595 / 2.960 / 58 / 58,-1.000 / -1.000 / 0 / 63,-1.000 / -1.000 / 0 / 57,2.563 / 2.960 / 65 / 65,-1.000 / -1.000 / 0 / 58
37,2-17,1.094 / 1.921 / 48 / 48,-1.000 / -1.000 / 0 / 28,-1.000 / -1.000 / 0 / 69,0.942 / 0.942 / 42 / 42,-1.000 / -1.000 / 0 / 76
38,2-18,1.113 / 1.443 / 41 / 41,-1.000 / -1.000 / 0 / 47,-1.000 / -1.000 / 0 / 67,1.248 / 1.856 / 46 / 46,-1.000 / -1.000 / 0 / 51
39,2-19,0.892 / 0.892 / 63 / 63,-1.000 / -1.000 / 0 / 62,-1.000 / -1.000 / 0 / 27,0.892 / 0.892 / 36 / 36,-1.000 / -1.000 / 0 / 25
