,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.628 / 2.037 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.569 / 2.037 / 99 / 99,1.526 / 2.037 / 99 / 99
2,1-2,1.351 / 1.690 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.282 / 1.690 / 99 / 99,1.353 / 1.690 / 99 / 99
3,1-3,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
4,1-4,1.382 / 1.382 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.382 / 1.382 / 99 / 99,1.382 / 1.382 / 99 / 99
5,1-5,1.505 / 1.875 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.357 / 1.875 / 99 / 99,1.323 / 1.875 / 99 / 99
6,1-6,1.505 / 2.039 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.530 / 2.039 / 99 / 99,1.554 / 2.039 / 99 / 99
7,1-7,1.149 / 1.283 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.143 / 1.283 / 99 / 99,1.094 / 1.283 / 99 / 99
8,1-8,1.671 / 2.779 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.687 / 2.779 / 99 / 99,1.408 / 2.779 / 99 / 99
9,1-9,1.657 / 1.766 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.634 / 1.766 / 99 / 99,1.526 / 1.766 / 99 / 99
10,1-10,1.907 / 2.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.888 / 1.991 / 99 / 99,1.806 / 2.000 / 99 / 99
11,1-11,2.725 / 3.086 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.643 / 3.086 / 99 / 99,2.741 / 3.086 / 99 / 99
12,1-12,1.107 / 1.379 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.130 / 1.379 / 99 / 99,1.237 / 1.379 / 99 / 99
13,1-13,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
14,1-14,1.663 / 1.788 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.613 / 1.788 / 99 / 99,1.622 / 1.788 / 99 / 99
15,1-15,2.426 / 2.509 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.409 / 2.509 / 99 / 99,2.304 / 2.487 / 99 / 99
16,1-16,1.812 / 1.812 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.812 / 1.812 / 99 / 99,1.812 / 1.812 / 99 / 99
17,1-17,1.801 / 2.492 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.718 / 2.492 / 99 / 99,1.958 / 2.492 / 99 / 99
18,1-18,1.376 / 1.583 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.503 / 1.800 / 99 / 99,1.425 / 1.750 / 99 / 99
