,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,-1.000 / -1.000 / 0 / 99,1.367 / 1.369 / 99 / 99,1.421 / 1.865 / 99 / 99,1.245 / 1.245 / 99 / 99
1,1-1,-1.000 / -1.000 / 0 / 99,1.808 / 1.973 / 99 / 99,1.930 / 2.121 / 99 / 99,1.056 / 1.327 / 99 / 99
2,1-2,-1.000 / -1.000 / 0 / 99,1.484 / 1.484 / 99 / 99,1.484 / 1.484 / 99 / 99,1.484 / 1.484 / 99 / 99
3,1-3,-1.000 / -1.000 / 0 / 99,2.590 / 2.816 / 99 / 99,1.713 / 2.428 / 99 / 99,1.192 / 1.387 / 99 / 99
4,1-4,-1.000 / -1.000 / 0 / 99,1.065 / 1.065 / 99 / 99,2.305 / 2.411 / 99 / 99,1.000 / 1.000 / 99 / 99
5,2-0,-1.000 / -1.000 / 0 / 67,0.919 / 0.919 / 62 / 62,0.919 / 0.919 / 45 / 45,1.279 / 1.336 / 51 / 51
6,2-1,-1.000 / -1.000 / 0 / 60,2.088 / 2.116 / 49 / 49,2.076 / 2.099 / 40 / 40,2.639 / 2.639 / 16 / 16
7,2-2,-1.000 / -1.000 / 0 / 39,2.467 / 2.736 / 53 / 53,2.543 / 2.912 / 45 / 45,1.815 / 2.046 / 40 / 40
8,2-3,-1.000 / -1.000 / 0 / 56,1.262 / 1.452 / 60 / 60,1.298 / 1.452 / 61 / 61,1.673 / 2.014 / 33 / 33
9,2-4,-1.000 / -1.000 / 0 / 40,1.215 / 1.215 / 49 / 49,1.215 / 1.215 / 28 / 28,1.971 / 1.971 / 42 / 42
10,2-5,-1.000 / -1.000 / 0 / 43,1.370 / 1.532 / 39 / 39,1.369 / 1.776 / 47 / 47,0.945 / 1.204 / 44 / 44
11,2-6,-1.000 / -1.000 / 0 / 38,2.378 / 2.880 / 69 / 69,2.387 / 2.723 / 52 / 52,1.251 / 1.251 / 80 / 80
12,2-7,-1.000 / -1.000 / 0 / 43,1.765 / 1.868 / 55 / 55,1.589 / 1.868 / 53 / 53,0.967 / 1.315 / 28 / 28
13,2-8,-1.000 / -1.000 / 0 / 33,2.583 / 2.583 / 48 / 48,2.501 / 2.536 / 76 / 76,0.699 / 0.699 / 49 / 49
14,2-9,-1.000 / -1.000 / 0 / 51,1.526 / 1.526 / 36 / 36,2.092 / 2.272 / 53 / 53,1.839 / 2.025 / 67 / 67
15,2-10,-1.000 / -1.000 / 0 / 57,2.970 / 3.210 / 54 / 54,3.014 / 3.210 / 44 / 44,2.673 / 2.825 / 31 / 31
16,2-11,-1.000 / -1.000 / 0 / 32,1.232 / 1.468 / 51 / 51,1.166 / 1.468 / 42 / 42,1.259 / 1.281 / 25 / 25
17,2-12,-1.000 / -1.000 / 0 / 83,2.778 / 2.793 / 70 / 70,1.593 / 1.634 / 23 / 23,0.853 / 2.487 / 64 / 64
18,2-13,-1.000 / -1.000 / 0 / 24,1.182 / 1.182 / 64 / 64,1.200 / 1.302 / 53 / 53,2.479 / 2.631 / 65 / 65
19,2-14,-1.000 / -1.000 / 0 / 50,1.578 / 1.813 / 50 / 50,1.555 / 1.698 / 47 / 47,1.676 / 1.676 / 89 / 89
