,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.320 / 1.936 / 99 / 99,1.277 / 1.747 / 99 / 99,1.202 / 1.614 / 99 / 99,1.881 / 2.105 / 99 / 99
1,1-1,1.378 / 1.821 / 99 / 99,1.525 / 2.285 / 99 / 99,1.453 / 2.160 / 99 / 99,1.406 / 1.821 / 99 / 99
2,1-2,1.197 / 1.546 / 99 / 99,1.252 / 1.710 / 99 / 99,1.112 / 2.084 / 99 / 99,1.178 / 1.546 / 99 / 99
3,1-3,1.772 / 2.099 / 99 / 99,7.573 / 521.552 / 99 / 99,1.941 / 2.818 / 99 / 99,1.779 / 2.099 / 99 / 99
4,1-4,1.294 / 1.676 / 99 / 99,1.855 / 2.890 / 99 / 99,1.530 / 2.552 / 99 / 99,1.345 / 1.676 / 99 / 99
5,1-5,1.399 / 1.683 / 99 / 99,1.834 / 2.001 / 99 / 99,1.754 / 2.235 / 99 / 99,1.179 / 1.385 / 99 / 99
6,1-6,1.684 / 1.809 / 99 / 99,1.597 / 2.050 / 99 / 99,1.652 / 1.801 / 99 / 99,1.678 / 1.809 / 99 / 99
7,2-0,1.643 / 3.371 / 90 / 90,1.336 / 1.364 / 60 / 60,1.404 / 2.410 / 49 / 49,0.789 / 0.789 / 28 / 28
8,2-1,1.022 / 1.275 / 53 / 53,0.931 / 1.386 / 31 / 31,0.853 / 0.853 / 22 / 22,0.934 / 1.275 / 64 / 64
9,2-2,0.856 / 0.856 / 44 / 44,2.470 / 2.602 / 34 / 34,2.435 / 2.641 / 51 / 51,0.856 / 0.856 / 65 / 65
10,2-3,2.341 / 2.683 / 56 / 56,1.700 / 2.139 / 51 / 51,1.647 / 2.282 / 66 / 66,2.317 / 2.693 / 48 / 48
11,2-4,1.032 / 1.585 / 19 / 19,1.403 / 1.927 / 41 / 43,1.248 / 1.779 / 49 / 49,0.984 / 1.287 / 50 / 50
12,2-5,1.606 / 3.463 / 54 / 54,2.520 / 2.939 / 36 / 36,2.545 / 3.306 / 55 / 55,1.524 / 2.119 / 51 / 51
13,2-6,1.168 / 1.323 / 52 / 52,0.909 / 0.931 / 60 / 60,1.298 / 1.613 / 59 / 59,1.186 / 1.400 / 39 / 39
14,2-7,1.049 / 1.358 / 41 / 41,1.757 / 2.274 / 48 / 48,1.533 / 1.836 / 38 / 38,1.001 / 1.358 / 44 / 44
15,2-8,1.280 / 1.602 / 32 / 32,1.158 / 1.448 / 63 / 63,1.299 / 2.789 / 46 / 46,1.161 / 1.639 / 59 / 59
16,2-9,1.787 / 2.055 / 56 / 56,1.943 / 2.576 / 47 / 47,2.315 / 2.553 / 52 / 52,1.747 / 2.055 / 42 / 42
17,2-10,1.257 / 1.417 / 46 / 46,1.707 / 2.048 / 55 / 55,1.940 / 2.228 / 48 / 48,1.209 / 1.209 / 45 / 45
18,2-11,1.686 / 2.014 / 50 / 50,1.990 / 2.761 / 44 / 44,2.226 / 3.091 / 28 / 28,1.919 / 2.383 / 56 / 56
19,2-12,1.142 / 1.556 / 51 / 51,1.749 / 2.239 / 36 / 36,1.702 / 1.942 / 36 / 36,1.135 / 1.494 / 58 / 58
20,2-13,1.521 / 1.735 / 51 / 51,1.823 / 1.823 / 12 / 12,1.975 / 2.169 / 45 / 45,1.515 / 1.735 / 48 / 48
21,2-14,2.061 / 3.569 / 41 / 41,2.145 / 2.897 / 29 / 29,2.072 / 2.548 / 33 / 33,1.754 / 2.014 / 41 / 41
22,2-15,1.379 / 2.350 / 53 / 53,1.337 / 1.908 / 48 / 48,1.233 / 1.604 / 48 / 48,1.113 / 1.180 / 52 / 52
23,2-16,2.491 / 2.546 / 50 / 50,1.570 / 2.057 / 24 / 24,1.243 / 1.243 / 53 / 53,1.130 / 1.130 / 57 / 57
24,2-17,0.888 / 1.166 / 36 / 36,1.055 / 1.511 / 73 / 73,1.558 / 1.814 / 61 / 61,1.022 / 1.166 / 59 / 59
25,2-18,1.419 / 3.911 / 45 / 45,2.176 / 3.392 / 68 / 68,2.025 / 2.639 / 59 / 59,1.388 / 1.790 / 62 / 62
26,2-19,1.022 / 1.580 / 43 / 43,1.524 / 1.991 / 49 / 49,1.553 / 2.026 / 44 / 44,1.045 / 1.374 / 56 / 56
27,2-20,1.359 / 1.637 / 40 / 40,1.464 / 1.867 / 38 / 38,1.925 / 2.127 / 33 / 33,1.585 / 1.637 / 37 / 37
