,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.137 / 1.344 /  9,1.478 / 1.784 /  9,1.478 / 1.784 /  9,1.038 / 1.344 /  9,1.000 / 1.000 /  9
1,1-1,1.387 / 1.610 /  9,1.251 / 1.506 /  9,1.251 / 1.506 /  9,1.355 / 1.610 /  9,1.220 / 1.220 /  9
2,2-0,0.929 / 0.929 / 10,0.929 / 0.929 /  8,0.929 / 0.929 / 11,0.929 / 0.929 / 12,0.929 / 0.929 / 10
3,2-1,0.890 / 0.890 /  6,0.890 / 0.890 /  4,0.992 / 1.712 /  8,1.095 / 1.712 /  4,0.890 / 0.890 /  7
