,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.057 / 1.257 /  9,1.092 / 1.275 /  9,1.092 / 1.275 /  9,1.259 / 1.473 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.317 / 1.317 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,2-0,0.953 / 0.953 /  8,0.953 / 0.953 /  4,0.953 / 0.953 /  8,0.953 / 0.953 /  4,1.141 / 1.141 /  7
3,2-1,0.896 / 0.896 /  7,0.896 / 0.896 /  7,1.098 / 1.109 /  6,0.898 / 0.902 /  9,0.898 / 0.902 /  6
