,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.092 / 1.825 /  9,1.122 / 2.098 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
1,1-1,1.303 / 1.828 /  9,1.376 / 1.695 /  9,1.419 / 1.609 /  9,1.298 / 1.806 /  9,-1.000 / -1.000 /  0
2,1-2,1.321 / 1.361 /  9,1.257 / 1.258 /  9,1.179 / 1.250 /  9,1.480 / 1.668 /  9,-1.000 / -1.000 /  0
3,1-3,1.000 / 1.000 /  9,1.280 / 1.290 /  9,1.729 / 1.806 /  9,1.072 / 1.258 /  9,-1.000 / -1.000 /  0
4,1-4,0.796 / 1.014 /  9,0.813 / 1.430 /  9,0.812 / 1.420 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
5,2-0,1.471 / 1.782 / 10,1.436 / 1.436 /  9,1.436 / 1.436 /  7,1.498 / 1.607 /  8,-1.000 / -1.000 /  0
6,2-1,0.942 / 1.175 /  8,0.950 / 1.280 /  9,1.536 / 1.767 /  8,0.961 / 1.014 /  6,-1.000 / -1.000 /  0
7,2-2,0.952 / 0.952 /  7,0.952 / 0.952 /  8,0.952 / 0.952 /  7,0.952 / 0.952 /  8,-1.000 / -1.000 /  0
8,2-3,1.378 / 1.378 /  7,1.378 / 1.378 /  6,1.378 / 1.378 /  7,1.378 / 1.378 /  6,-1.000 / -1.000 /  0
9,2-4,1.089 / 1.360 /  9,1.259 / 1.506 /  9,1.274 / 1.727 / 10,1.055 / 1.055 /  6,-1.000 / -1.000 /  0
10,2-5,1.353 / 1.353 /  4,1.092 / 1.092 /  6,1.500 / 1.500 /  8,1.313 / 1.702 /  6,-1.000 / -1.000 /  0
11,2-6,1.289 / 1.550 /  8,0.892 / 0.892 /  7,1.143 / 1.339 /  5,1.032 / 1.214 /  7,-1.000 / -1.000 /  0
12,2-7,0.990 / 1.335 /  8,0.965 / 1.244 /  5,0.895 / 0.895 / 10,1.016 / 1.864 /  8,-1.000 / -1.000 /  0
13,2-8,1.466 / 1.799 /  8,1.151 / 1.151 /  7,1.151 / 1.151 / 10,1.418 / 1.418 / 11,-1.000 / -1.000 /  0
14,2-9,1.110 / 1.110 /  5,0.891 / 0.891 /  8,0.891 / 0.891 /  4,1.110 / 1.110 /  9,-1.000 / -1.000 /  0
