,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.136 / 1.297 /  9,1.439 / 1.682 /  9,2.127 / 2.341 /  9,1.133 / 1.133 /  9,1.103 / 1.133 /  9
1,1-1,1.222 / 1.469 /  9,1.278 / 1.846 /  9,1.504 / 2.459 /  9,1.189 / 1.346 /  9,1.248 / 1.346 /  9
2,1-2,1.127 / 1.387 /  9,1.043 / 1.387 /  9,1.906 / 2.304 /  9,1.124 / 1.373 /  9,1.000 / 1.000 /  9
3,1-3,1.077 / 1.696 /  9,1.081 / 1.376 /  9,1.039 / 1.354 /  9,1.000 / 1.000 /  9,1.155 / 1.696 /  9
4,1-4,1.888 / 2.187 /  9,1.860 / 2.187 /  9,1.901 / 2.187 /  9,1.836 / 1.868 /  9,1.819 / 1.819 /  9
5,2-0,0.895 / 0.895 /  6,0.895 / 0.895 /  6,0.895 / 0.895 /  7,0.895 / 0.895 /  9,0.895 / 0.895 /  7
6,2-1,0.891 / 0.891 /  6,0.932 / 1.015 /  6,0.891 / 0.891 /  4,0.907 / 1.015 /  8,0.891 / 0.891 /  4
7,2-2,0.977 / 1.157 /  8,0.952 / 0.952 /  5,1.226 / 2.047 /  8,0.993 / 1.157 /  5,1.055 / 1.157 /  8
8,2-3,1.095 / 1.259 /  8,1.105 / 1.259 /  5,1.006 / 1.006 /  5,1.045 / 1.045 /  4,1.147 / 1.436 /  8
9,2-4,0.765 / 0.765 /  7,0.765 / 0.765 /  8,0.765 / 0.765 /  6,0.765 / 0.765 /  4,0.950 / 1.933 /  9
10,2-5,1.818 / 1.826 /  8,0.892 / 0.892 / 10,0.892 / 0.892 /  5,1.816 / 1.816 /  8,1.817 / 1.826 /  9
11,2-6,1.910 / 1.940 /  8,1.910 / 1.940 /  7,1.952 / 2.232 /  7,1.905 / 1.905 /  5,1.978 / 2.232 /  5
12,2-7,0.971 / 1.547 /  8,1.035 / 1.284 /  8,1.611 / 1.963 /  9,0.936 / 1.270 /  8,0.888 / 0.888 /  6
13,2-8,1.405 / 1.405 /  7,1.405 / 1.405 /  9,1.452 / 1.832 /  9,1.487 / 1.772 /  9,1.412 / 1.445 /  6
14,2-9,0.892 / 0.892 /  6,0.963 / 1.497 /  9,1.091 / 1.091 /  9,0.892 / 0.892 /  7,0.915 / 1.050 /  7
