8.716,3.93904
8.74136,5.94805
6.21772,2.64186
7.00916,4.19181
10.5775,6.21081
7.828,6.56201
5.48806,2.5745
6.79211,3.15631
9.25856,5.97572
5.39056,2.52052
8.3807,5.71961
7.38316,3.99223
8.7804,6.11075
7.53436,4.9111
7.53749,3.6556
6.91822,3.42212
9.41027,3.47485
6.5625,3.57435
6.12777,2.59948
8.22103,6.29763
8.36562,8.36562
5.02632,2.54778
11.6831,8.745
5.57503,4.04373
5.35712,2.96202
5.73261,1.99657
7.20592,5.57081
10.3453,6.61885
4.4596,2.28527
7.17216,4.42102
7.21205,4.83566
5.66511,3.12688
8.90445,5.9895
9.48105,4.80383
8.66393,3.60044
7.59807,4.01902
7.61224,3.77505
11.0594,5.13294
8.9179,6.98733
6.84364,4.75206
10.0433,6.74406
8.19295,5.13063
4.49851,2.62258
10.7552,8.83053
7.03192,3.60985
6.1923,4.10734
7.05191,3.23493
4.89989,2.59647
7.88831,6.00267
7.79248,4.40402
