,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.313 / 1.562 /  9,1.174 / 1.682 /  9,0.965 / 0.965 /  9,1.034 / 1.583 /  9,1.380 / 1.647 /  9
1,1-1,1.000 / 1.000 /  9,1.262 / 1.294 /  9,1.050 / 1.231 /  9,1.051 / 1.231 /  9,1.000 / 1.000 /  9
2,1-2,1.000 / 1.000 /  9,1.514 / 1.681 /  9,1.583 / 2.202 /  9,1.695 / 2.202 /  9,1.113 / 2.021 /  9
3,1-3,1.000 / 1.000 /  9,1.037 / 1.336 /  9,1.274 / 1.623 /  9,1.080 / 1.359 /  9,1.160 / 1.359 /  9
4,1-4,1.576 / 1.811 /  9,1.704 / 1.924 /  9,1.545 / 1.580 /  9,1.640 / 2.165 /  9,1.725 / 2.069 /  9
5,2-0,0.898 / 0.898 /  7,0.898 / 0.898 /  6,1.260 / 1.590 /  7,1.166 / 1.332 /  4,0.898 / 0.898 /  7
6,2-1,0.959 / 1.076 /  8,0.920 / 0.920 /  8,0.847 / 1.076 /  4,0.821 / 1.076 /  6,1.215 / 1.243 /  8
7,2-2,1.019 / 1.555 /  9,0.952 / 0.952 /  6,1.038 / 1.555 /  7,0.952 / 0.952 /  6,1.363 / 1.704 /  9
8,2-3,0.949 / 1.148 /  9,0.930 / 0.930 /  9,0.861 / 0.861 /  5,0.861 / 0.861 /  8,1.184 / 1.184 /  6
9,2-4,0.894 / 0.894 /  8,0.894 / 0.894 / 10,1.248 / 1.528 / 13,1.176 / 1.379 /  7,0.953 / 1.223 / 11
