,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.318 / 1.522 / 99 / 99,1.211 / 1.628 / 99 / 99,1.203 / 1.628 / 99 / 99,1.153 / 1.522 / 99 / 99
1,1-1,1.064 / 1.400 / 99 / 99,1.064 / 1.400 / 99 / 99,1.078 / 1.400 / 99 / 99,0.990 / 1.400 / 99 / 99
2,1-2,1.652 / 1.758 / 99 / 99,1.591 / 1.758 / 99 / 99,1.591 / 1.758 / 99 / 99,1.527 / 1.758 / 99 / 99
3,1-3,1.549 / 1.893 / 99 / 99,1.596 / 2.432 / 99 / 99,1.756 / 2.432 / 99 / 99,1.557 / 1.893 / 99 / 99
4,1-4,1.894 / 2.295 / 99 / 99,1.845 / 2.243 / 99 / 99,1.872 / 2.515 / 99 / 99,1.849 / 2.295 / 99 / 99
5,2-0,1.045 / 1.574 / 63 / 63,1.208 / 1.544 / 25 / 25,1.345 / 1.544 / 53 / 53,1.118 / 1.229 / 62 / 62
6,2-1,1.519 / 2.176 / 54 / 54,1.466 / 2.126 / 56 / 56,1.575 / 2.123 / 56 / 56,1.609 / 2.176 / 56 / 56
7,2-2,0.929 / 0.929 / 41 / 41,0.929 / 0.929 / 46 / 46,0.929 / 0.929 / 41 / 41,0.957 / 1.732 / 29 / 29
8,2-3,1.289 / 1.353 / 69 / 69,1.298 / 1.353 / 50 / 50,1.198 / 1.353 / 52 / 52,1.289 / 1.353 / 33 / 33
9,2-4,1.412 / 2.036 / 59 / 59,1.495 / 1.989 / 45 / 45,1.554 / 2.193 / 46 / 46,1.233 / 1.333 / 49 / 49
