,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.161 / 1.163 / 99 / 99,1.497 / 1.630 / 99 / 99,1.497 / 1.630 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.211 / 1.330 / 99 / 99,1.304 / 1.453 / 99 / 99,1.293 / 1.453 / 99 / 99,1.255 / 1.330 / 99 / 99
2,1-2,1.730 / 1.861 / 99 / 99,1.997 / 2.166 / 99 / 99,1.984 / 2.166 / 99 / 99,1.779 / 1.861 / 99 / 99
3,1-3,1.385 / 1.387 / 99 / 99,1.000 / 1.049 / 99 / 99,1.000 / 1.049 / 99 / 99,1.240 / 1.344 / 99 / 99
4,1-4,1.056 / 1.475 / 99 / 99,0.961 / 1.369 / 99 / 99,1.089 / 1.369 / 99 / 99,1.128 / 1.369 / 99 / 99
5,2-0,1.033 / 1.086 / 47 / 47,1.006 / 1.086 / 48 / 48,1.035 / 1.086 / 44 / 44,1.028 / 1.086 / 62 / 62
6,2-1,1.015 / 1.637 / 52 / 52,0.965 / 1.612 / 31 / 31,1.339 / 1.801 / 72 / 72,1.163 / 1.612 / 60 / 60
7,2-2,1.177 / 1.673 / 60 / 60,1.092 / 1.660 / 58 / 58,1.196 / 1.839 / 50 / 50,1.262 / 1.839 / 86 / 86
8,2-3,0.908 / 0.908 / 49 / 49,0.908 / 0.908 / 50 / 50,0.908 / 0.908 / 54 / 54,0.908 / 0.908 / 51 / 51
9,2-4,1.081 / 1.467 / 49 / 49,1.185 / 1.662 / 36 / 36,1.067 / 1.392 / 55 / 55,0.994 / 1.411 / 44 / 44
