,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1,2.082,2.052,2.546,2.247,2.064
2,1.841,1.863,2.187,2.049,2.083
3,1.679,1.58,1.904,1.7,1.641
4,1.922,1.666,1.7,1.935,1.652
