,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1.0,2.327,3.233,2.304,2.227,4.732
1.25,2.332,2.158,2.332,2.442,2.332
1.5,2.082,2.052,2.546,2.247,2.064
1.75,2.241,2.201,2.228,2.222,2.059
2.0,2.752,2.54,2.768,4.583,2.625
