,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1,2.752,2.54,2.768,4.583,2.625
2,2.553,2.494,2.553,2.553,2.693
3,2.2,2.054,2.008,2.038,1.937
4,2.142,2.273,2.203,2.562,2.036
