,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1.0,1.663,1.817,1.986,1.829,2.016
1.25,2.903,2.233,1.791,2.222,2.271
1.5,1.922,1.666,1.7,1.935,1.652
1.75,1.791,1.722,1.816,1.692,1.778
2.0,2.142,2.273,2.203,2.562,2.036
