,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1,2.332,2.158,2.332,2.442,2.332
2,2.018,1.805,2.116,3.289,1.867
3,1.741,1.734,1.892,1.892,1.734
4,2.903,2.233,1.791,2.222,2.271
