,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1.0,2.239,3.036,2.239,4.317,4.666
1.25,1.741,1.734,1.892,1.892,1.734
1.5,1.679,1.58,1.904,1.7,1.641
1.75,2.491,2.491,2.527,2.184,2.151
2.0,2.2,2.054,2.008,2.038,1.937
