,min_max_percentage,shortest_path,least_used_capacity_percentage,ILP,least_conflict_value
1,2.327,3.233,2.304,2.227,4.732
2,1.607,2.021,4.738,1.732,1.857
3,2.239,3.036,2.239,4.317,4.666
4,1.663,1.817,1.986,1.829,2.016
