,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.435 / 1.766 / 99 / 99,1.599 / 1.908 / 99 / 99,1.589 / 2.123 / 99 / 99,1.294 / 1.766 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.569 / 1.677 / 99 / 99,1.598 / 1.677 / 99 / 99,1.364 / 1.364 / 99 / 99
2,1-2,1.289 / 1.289 / 99 / 99,1.199 / 1.304 / 99 / 99,1.227 / 1.304 / 99 / 99,1.000 / 1.000 / 99 / 99
3,2-0,1.423 / 1.437 / 36 / 36,1.430 / 1.447 / 69 / 69,1.435 / 1.447 / 69 / 69,1.421 / 1.437 / 56 / 56
4,2-1,0.910 / 0.910 / 37 / 37,0.910 / 0.910 / 24 / 24,0.910 / 0.910 / 35 / 35,0.910 / 0.910 / 39 / 39
5,2-2,1.240 / 1.517 / 47 / 47,1.178 / 1.383 / 49 / 49,1.157 / 1.383 / 52 / 52,1.236 / 1.383 / 39 / 39
6,2-3,1.179 / 1.179 / 41 / 41,1.179 / 1.179 / 41 / 41,1.179 / 1.179 / 50 / 50,1.179 / 1.179 / 30 / 30
7,2-4,1.475 / 1.475 / 46 / 46,1.410 / 1.925 / 30 / 30,1.637 / 1.925 / 50 / 50,1.415 / 1.415 / 48 / 48
8,2-5,1.185 / 1.440 / 65 / 65,1.131 / 1.312 / 63 / 63,1.126 / 1.312 / 60 / 60,1.098 / 1.359 / 35 / 35
9,2-6,1.270 / 1.546 / 52 / 52,2.325 / 2.712 / 59 / 59,2.296 / 2.536 / 71 / 71,1.230 / 1.546 / 57 / 57
10,2-7,1.785 / 2.037 / 41 / 41,1.911 / 2.037 / 37 / 37,1.877 / 2.037 / 50 / 50,1.703 / 1.909 / 48 / 48
11,2-8,1.052 / 1.096 / 58 / 58,1.302 / 1.379 / 41 / 41,1.248 / 1.379 / 45 / 45,1.043 / 1.096 / 41 / 41
12,2-9,1.307 / 1.564 / 45 / 45,2.422 / 2.743 / 70 / 70,2.487 / 2.743 / 70 / 70,1.404 / 1.564 / 45 / 45
13,2-10,1.579 / 1.677 / 64 / 64,0.880 / 0.886 / 59 / 59,0.881 / 0.886 / 69 / 69,1.883 / 2.032 / 33 / 33
14,2-11,1.457 / 1.457 / 59 / 59,1.675 / 1.775 / 52 / 52,1.674 / 1.775 / 59 / 59,1.494 / 1.494 / 35 / 35
