,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.126 / 1.266 / 99 / 99,1.404 / 1.565 / 99 / 99,2.042 / 2.042 / 99 / 99,1.089 / 1.266 / 99 / 99
1,1-1,1.165 / 1.390 / 99 / 99,1.165 / 1.390 / 99 / 99,1.150 / 1.390 / 99 / 99,1.201 / 1.390 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,2.399 / 2.399 / 99 / 99,1.000 / 1.000 / 99 / 99
3,2-0,1.291 / 1.792 / 29 / 29,1.291 / 1.792 / 65 / 65,1.455 / 1.955 / 49 / 49,1.314 / 1.792 / 40 / 40
4,2-1,1.043 / 1.205 / 42 / 42,1.080 / 1.205 / 42 / 42,0.610 / 0.610 / 38 / 38,1.029 / 1.196 / 50 / 50
5,2-2,0.824 / 0.824 / 57 / 57,0.824 / 0.824 / 59 / 59,0.824 / 0.824 / 59 / 59,0.824 / 0.824 / 29 / 29
6,2-3,1.016 / 1.275 / 61 / 61,0.889 / 0.889 / 46 / 46,0.902 / 1.275 / 60 / 60,0.968 / 1.275 / 44 / 44
7,2-4,1.374 / 1.583 / 25 / 25,1.362 / 1.583 / 44 / 44,1.431 / 1.583 / 43 / 43,1.454 / 1.583 / 60 / 60
8,2-5,1.068 / 1.408 / 52 / 52,1.086 / 1.408 / 44 / 44,0.988 / 1.363 / 45 / 45,1.003 / 1.068 / 64 / 64
9,2-6,0.958 / 1.194 / 43 / 43,0.934 / 0.987 / 38 / 38,0.875 / 1.194 / 63 / 63,0.978 / 1.194 / 64 / 64
10,2-7,0.891 / 0.891 / 35 / 35,0.891 / 0.891 / 55 / 55,0.891 / 0.891 / 44 / 44,0.891 / 0.891 / 58 / 58
11,2-8,1.330 / 1.504 / 39 / 39,1.415 / 1.504 / 63 / 63,1.753 / 2.010 / 35 / 35,1.322 / 1.504 / 70 / 70
12,2-9,1.066 / 1.524 / 72 / 72,1.254 / 1.589 / 54 / 54,1.708 / 2.306 / 26 / 26,1.037 / 1.524 / 43 / 43
13,2-10,1.055 / 1.473 / 55 / 55,1.079 / 1.473 / 59 / 59,1.209 / 1.473 / 33 / 33,1.010 / 1.473 / 45 / 45
14,2-11,0.940 / 1.274 / 54 / 54,0.992 / 1.274 / 36 / 36,0.980 / 1.274 / 69 / 69,0.909 / 1.274 / 36 / 36
