,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.387 / 2.064 / 99 / 99,1.643 / 2.323 / 99 / 99,2.833 / 3.227 / 99 / 99,1.996 / 2.537 / 99 / 99
1,1-1,1.389 / 1.759 / 99 / 99,2.052 / 2.582 / 99 / 99,2.546 / 2.841 / 99 / 99,1.297 / 1.634 / 99 / 99
2,1-2,1.169 / 1.408 / 99 / 99,1.156 / 1.408 / 99 / 99,1.245 / 1.423 / 99 / 99,1.148 / 1.408 / 99 / 99
3,2-0,1.158 / 1.440 / 59 / 59,1.070 / 1.070 / 19 / 19,1.187 / 1.440 / 54 / 54,1.092 / 1.440 / 51 / 51
4,2-1,0.894 / 0.894 / 41 / 41,0.894 / 0.894 / 38 / 38,0.894 / 0.894 / 59 / 59,0.897 / 0.976 / 36 / 36
5,2-2,2.857 / 3.089 / 61 / 61,2.848 / 3.089 / 50 / 50,2.845 / 3.089 / 51 / 51,2.909 / 3.089 / 40 / 40
6,2-3,0.719 / 0.719 / 31 / 31,0.719 / 0.719 / 40 / 40,0.719 / 0.719 / 55 / 55,1.024 / 4.446 / 41 / 41
7,2-4,1.025 / 2.566 / 54 / 54,0.888 / 0.888 / 40 / 40,0.899 / 1.101 / 60 / 60,0.909 / 1.368 / 45 / 45
8,2-5,1.474 / 3.328 / 70 / 70,3.422 / 3.576 / 66 / 66,2.649 / 2.852 / 59 / 59,3.429 / 3.576 / 63 / 63
9,2-6,1.630 / 2.267 / 58 / 58,2.074 / 2.520 / 39 / 39,3.776 / 4.273 / 52 / 52,2.054 / 2.706 / 48 / 48
10,2-7,1.770 / 2.450 / 57 / 57,1.980 / 2.691 / 61 / 61,4.009 / 4.216 / 31 / 31,1.994 / 2.448 / 29 / 29
11,2-8,3.191 / 3.236 / 21 / 21,1.793 / 1.925 / 43 / 43,1.685 / 1.905 / 44 / 44,1.745 / 1.905 / 52 / 52
12,2-9,1.331 / 1.628 / 30 / 30,1.617 / 2.022 / 44 / 44,3.598 / 3.870 / 59 / 59,1.793 / 2.431 / 36 / 36
13,2-10,0.967 / 1.322 / 50 / 50,0.969 / 1.322 / 32 / 32,1.056 / 1.322 / 59 / 59,1.051 / 1.322 / 61 / 61
14,2-11,1.361 / 1.601 / 42 / 42,1.410 / 1.601 / 74 / 74,1.388 / 1.601 / 46 / 46,1.386 / 1.601 / 51 / 51
