,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.039 / 1.355 /  9,1.039 / 1.355 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,1.518 / 1.582 /  9,1.582 / 1.582 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.237 / 1.321 /  9,1.024 / 1.212 /  9,1.000 / 1.000 /  9,1.237 / 1.321 /  9,1.212 / 1.212 /  9
3,2-0,0.837 / 1.042 /  8,0.808 / 0.808 / 10,0.818 / 0.889 /  8,0.808 / 0.808 /  6,0.808 / 0.808 /  8
4,2-1,0.999 / 1.237 /  6,1.075 / 1.353 /  7,1.108 / 1.353 /  8,0.984 / 1.237 /  9,1.074 / 1.237 /  7
5,2-2,0.927 / 1.021 /  7,0.890 / 0.890 /  4,0.890 / 0.890 /  5,0.942 / 1.021 /  5,0.890 / 0.890 /  5
