,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.323 / 1.537 / 93 / 99,1.267 / 1.654 / 99 / 99,1.256 / 1.537 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,1.293 / 1.801 / 99 / 99,1.719 / 2.405 / 99 / 99,2.453 / 2.824 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,1.859 / 2.483 / 99 / 99,1.950 / 2.605 / 99 / 99,1.999 / 2.483 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,1.428 / 2.459 / 99 / 99,1.728 / 2.459 / 99 / 99,1.713 / 2.710 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.378 / 1.378 / 99 / 99,1.378 / 1.378 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,2-0,1.066 / 1.549 / 54 / 54,1.136 / 1.549 / 51 / 51,1.062 / 1.869 / 37 / 37,-1.000 / -1.000 / 0 / 49
6,2-1,0.941 / 1.239 / 35 / 35,0.969 / 1.239 / 51 / 51,0.845 / 0.957 / 52 / 52,-1.000 / -1.000 / 0 / 58
7,2-2,1.931 / 2.360 / 59 / 59,1.953 / 2.368 / 50 / 50,2.158 / 2.864 / 73 / 73,-1.000 / -1.000 / 0 / 68
8,2-3,1.155 / 2.156 / 47 / 47,0.895 / 0.895 / 57 / 57,0.895 / 0.895 / 59 / 59,-1.000 / -1.000 / 0 / 39
9,2-4,1.338 / 1.800 / 62 / 62,1.238 / 1.697 / 64 / 64,1.267 / 1.516 / 69 / 69,-1.000 / -1.000 / 0 / 48
10,2-5,1.220 / 1.923 / 23 / 23,1.370 / 1.923 / 57 / 57,1.344 / 2.146 / 73 / 73,-1.000 / -1.000 / 0 / 85
11,2-6,1.347 / 1.738 / 38 / 38,1.147 / 1.680 / 15 / 15,1.542 / 1.909 / 65 / 65,-1.000 / -1.000 / 0 / 51
12,2-7,1.491 / 2.112 / 52 / 52,1.352 / 2.215 / 51 / 51,1.392 / 2.228 / 64 / 64,-1.000 / -1.000 / 0 / 40
13,2-8,1.443 / 2.140 / 36 / 36,1.142 / 1.709 / 52 / 52,1.330 / 1.886 / 68 / 68,-1.000 / -1.000 / 0 / 37
14,2-9,1.483 / 2.378 / 32 / 32,1.335 / 1.864 / 18 / 18,1.411 / 1.696 / 59 / 59,-1.000 / -1.000 / 0 / 49
15,2-10,1.042 / 1.178 / 63 / 63,0.971 / 1.072 / 46 / 46,1.052 / 1.072 / 52 / 52,-1.000 / -1.000 / 0 / 52
16,2-11,1.435 / 2.331 / 60 / 60,1.567 / 2.331 / 44 / 44,1.582 / 2.331 / 37 / 37,-1.000 / -1.000 / 0 / 63
17,2-12,1.033 / 1.375 / 42 / 42,1.102 / 1.527 / 51 / 51,1.023 / 1.247 / 32 / 32,-1.000 / -1.000 / 0 / 52
18,2-13,1.712 / 2.185 / 23 / 23,1.955 / 2.397 / 62 / 62,1.861 / 2.427 / 45 / 45,-1.000 / -1.000 / 0 / 54
19,2-14,1.251 / 2.165 / 33 / 33,1.196 / 1.985 / 45 / 45,2.001 / 2.273 / 38 / 38,-1.000 / -1.000 / 0 / 32
