,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.174 / 1.392 /  9,1.199 / 1.392 /  9,1.188 / 1.947 /  9,14.526 / 118.152 /  9,1.569 / 2.593 /  9
1,1-1,740.194 / 1772.975 /  7,1.285 / 1.293 /  9,1.199 / 1.225 /  9,1.273 / 1.329 /  9,1.473 / 1.558 /  9
2,1-2,1.000 / 1.000 /  9,1.795 / 1.804 /  9,2.133 / 2.202 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
3,1-3,1.598 / 1.839 /  8,2.021 / 2.029 /  9,1.612 / 1.677 /  9,1.726 / 1.948 /  9,1.952 / 2.144 /  9
4,1-4,1.000 / 1.000 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.562 / 1.562 /  9
5,2-0,0.876 / 1.101 /  6,0.831 / 0.831 /  9,0.855 / 0.855 /  6,0.983 / 1.001 /  6,0.921 / 1.088 /  7
6,2-1,1.025 / 1.324 /  9,1.194 / 1.324 /  6,1.074 / 1.164 /  7,1.036 / 1.324 /  8,0.940 / 0.940 /  6
7,2-2,0.960 / 1.099 /  8,0.945 / 1.099 /  6,1.468 / 2.183 /  8,1.095 / 1.102 /  6,1.072 / 1.369 /  7
8,2-3,0.952 / 0.952 / 11,2.226 / 2.509 /  6,1.672 / 2.014 /  8,2.180 / 2.243 /  7,1.696 / 1.696 /  6
9,2-4,0.662 / 0.662 /  9,0.662 / 0.662 /  7,0.761 / 1.069 /  7,43.069 / 211.478 /  6,0.936 / 1.545 /  6
10,2-5,2.092 / 2.670 /  6,1.127 / 1.127 /  8,1.127 / 1.127 /  9,1.127 / 1.127 /  8,1.741 / 1.798 /  3
11,2-6,1.432 / 1.941 /  6,1.537 / 1.537 /  4,1.659 / 1.973 /  5,1.561 / 1.645 / 12,1.114 / 1.114 /  6
12,2-7,1.144 / 1.171 /  9,1.385 / 1.385 /  9,2.525 / 3.416 /  9,1.503 / 2.302 /  9,1.885 / 2.466 /  9
13,2-8,754.014 / 2287.835 /  4,0.940 / 0.940 /  6,0.940 / 0.940 /  7,1.614 / 1.849 /  8,0.940 / 0.940 /  3
14,2-9,0.976 / 1.347 /  9,1.397 / 1.478 /  9,1.387 / 1.387 /  5,1.112 / 1.390 /  8,1.387 / 1.387 /  7
15,2-10,208.380 / 452.811 /  3,1.452 / 1.536 / 10,1.335 / 1.357 /  6,1.115 / 1.115 /  8,1.620 / 1.620 /  8
16,2-11,0.908 / 0.908 /  9,0.908 / 0.908 / 10,1.032 / 1.275 /  6,0.908 / 0.908 /  9,1.362 / 1.721 /  6
17,2-12,1.829 / 1.829 /  2,1.724 / 2.066 /  8,0.892 / 0.892 /  6,23.316 / 218.012 / 10,0.892 / 0.892 /  5
18,2-13,0.772 / 0.772 /  7,1.171 / 1.669 /  7,0.772 / 0.772 /  8,0.884 / 1.669 /  8,0.772 / 0.772 /  7
19,2-14,1.164 / 1.164 /  9,1.164 / 1.164 /  6,1.529 / 1.618 /  8,1.290 / 2.141 /  9,1.164 / 1.164 /  6
