,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,-1.000 / -1.000 /  0,1.057 / 1.057 /  9,1.201 / 1.401 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
1,1-1,-1.000 / -1.000 /  0,1.578 / 1.608 /  9,1.651 / 1.952 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
2,1-2,-1.000 / -1.000 /  0,1.211 / 1.321 /  9,1.212 / 1.236 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
3,1-3,-1.000 / -1.000 /  0,1.015 / 1.135 /  9,1.246 / 1.254 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
4,1-4,-1.000 / -1.000 /  0,1.470 / 1.511 /  9,1.305 / 1.511 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
5,2-0,-1.000 / -1.000 /  0,1.497 / 1.837 /  2,1.283 / 1.780 /  5,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
6,2-1,-1.000 / -1.000 /  0,1.080 / 1.098 /  6,1.427 / 1.523 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
7,2-2,-1.000 / -1.000 /  0,1.998 / 2.322 /  9,1.973 / 2.071 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
8,2-3,-1.000 / -1.000 /  0,1.417 / 1.417 /  9,1.417 / 1.417 /  7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
9,2-4,-1.000 / -1.000 /  0,1.504 / 1.538 /  8,1.572 / 1.613 /  4,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
10,2-5,-1.000 / -1.000 /  0,1.883 / 1.883 /  7,1.841 / 1.883 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
11,2-6,-1.000 / -1.000 /  0,1.227 / 1.227 /  9,1.227 / 1.227 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
12,2-7,-1.000 / -1.000 /  0,1.422 / 2.137 /  5,1.139 / 1.486 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
13,2-8,-1.000 / -1.000 /  0,1.131 / 1.168 /  8,1.072 / 1.229 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
14,2-9,-1.000 / -1.000 /  0,0.933 / 0.951 /  4,0.948 / 0.968 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
15,2-10,-1.000 / -1.000 /  0,0.972 / 1.257 /  9,0.891 / 0.891 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
16,2-11,-1.000 / -1.000 /  0,0.941 / 0.941 /  6,0.941 / 0.941 /  7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
17,2-12,-1.000 / -1.000 /  0,1.149 / 1.349 /  7,1.401 / 1.736 /  5,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
18,2-13,-1.000 / -1.000 /  0,0.941 / 0.941 /  8,1.167 / 2.750 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
19,2-14,-1.000 / -1.000 /  0,0.846 / 0.846 /  6,1.071 / 1.290 /  7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0
