,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.231 / 1.454 / 99 / 99,1.601 / 1.917 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.211 / 1.454 / 99 / 99
1,1-1,2.052 / 2.264 / 99 / 99,2.471 / 2.809 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.342 / 1.723 / 99 / 99
2,1-2,2.289 / 2.683 / 99 / 99,2.444 / 2.777 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.531 / 1.845 / 99 / 99
3,1-3,1.176 / 1.341 / 99 / 99,1.629 / 1.875 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.437 / 1.636 / 99 / 99
4,1-4,1.530 / 1.896 / 99 / 99,1.988 / 2.416 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.093 / 2.387 / 99 / 99
5,1-5,1.583 / 1.765 / 99 / 99,2.560 / 2.926 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.548 / 1.765 / 99 / 99
6,1-6,1.193 / 1.367 / 99 / 99,2.061 / 2.729 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.571 / 3.109 / 99 / 99
7,1-7,1.364 / 1.700 / 99 / 99,1.895 / 2.164 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.651 / 2.043 / 99 / 99
8,2-0,1.255 / 1.600 / 23 / 23,1.142 / 1.687 / 73 / 73,-1.000 / -1.000 / 0 / 64,1.680 / 2.203 / 64 / 64
9,2-1,1.764 / 2.288 / 48 / 48,1.006 / 1.427 / 56 / 56,-1.000 / -1.000 / 0 / 52,1.780 / 2.243 / 44 / 44
10,2-2,3.422 / 3.926 / 54 / 54,2.979 / 3.738 / 40 / 40,-1.000 / -1.000 / 0 / 61,1.021 / 1.367 / 36 / 36
11,2-3,1.509 / 1.827 / 53 / 53,1.814 / 2.362 / 50 / 50,-1.000 / -1.000 / 0 / 55,1.489 / 1.783 / 55 / 55
12,2-4,1.380 / 1.549 / 29 / 29,1.703 / 1.950 / 56 / 56,-1.000 / -1.000 / 0 / 44,1.705 / 1.735 / 39 / 39
13,2-5,2.741 / 3.150 / 35 / 35,1.445 / 1.445 / 56 / 56,-1.000 / -1.000 / 0 / 68,1.526 / 1.565 / 22 / 22
14,2-6,1.139 / 1.554 / 56 / 56,2.348 / 3.008 / 56 / 56,-1.000 / -1.000 / 0 / 52,1.913 / 2.146 / 47 / 47
15,2-7,0.765 / 2.231 / 43 / 43,0.730 / 0.730 / 57 / 57,-1.000 / -1.000 / 0 / 29,0.842 / 1.766 / 37 / 37
16,2-8,1.059 / 1.314 / 25 / 25,1.280 / 1.610 / 35 / 35,-1.000 / -1.000 / 0 / 64,1.183 / 1.683 / 42 / 42
17,2-9,1.571 / 1.881 / 43 / 43,1.687 / 2.038 / 69 / 69,-1.000 / -1.000 / 0 / 72,1.336 / 1.879 / 73 / 73
18,2-10,1.133 / 1.164 / 64 / 64,1.468 / 1.639 / 60 / 60,-1.000 / -1.000 / 0 / 66,1.148 / 1.388 / 54 / 54
19,2-11,1.256 / 1.520 / 72 / 72,1.027 / 1.789 / 53 / 53,-1.000 / -1.000 / 0 / 67,1.097 / 1.518 / 40 / 40
20,2-12,2.004 / 2.374 / 67 / 67,2.241 / 2.938 / 41 / 41,-1.000 / -1.000 / 0 / 41,1.434 / 1.780 / 51 / 51
21,2-13,2.872 / 2.872 / 46 / 46,2.744 / 2.775 / 47 / 47,-1.000 / -1.000 / 0 / 31,1.287 / 1.287 / 56 / 56
22,2-14,1.186 / 1.199 / 50 / 50,1.216 / 1.493 / 42 / 42,-1.000 / -1.000 / 0 / 43,1.202 / 1.238 / 41 / 41
23,2-15,0.930 / 0.930 / 56 / 56,0.930 / 0.930 / 54 / 54,-1.000 / -1.000 / 0 / 52,2.117 / 2.420 / 31 / 31
24,2-16,0.952 / 0.952 / 26 / 26,1.727 / 1.797 / 67 / 67,-1.000 / -1.000 / 0 / 70,1.531 / 1.639 / 16 / 16
25,2-17,1.876 / 2.122 / 26 / 26,2.363 / 2.781 / 41 / 41,-1.000 / -1.000 / 0 / 44,1.853 / 2.430 / 75 / 75
26,2-18,2.219 / 2.466 / 51 / 51,1.800 / 1.800 / 58 / 58,-1.000 / -1.000 / 0 / 39,1.166 / 1.166 / 40 / 40
27,2-19,1.334 / 1.703 / 54 / 54,1.777 / 2.311 / 51 / 51,-1.000 / -1.000 / 0 / 47,1.391 / 1.808 / 43 / 43
28,2-20,1.232 / 1.232 / 38 / 38,1.193 / 1.655 / 54 / 54,-1.000 / -1.000 / 0 / 57,1.528 / 1.850 / 33 / 33
29,2-21,1.061 / 1.241 / 49 / 49,1.454 / 1.659 / 71 / 71,-1.000 / -1.000 / 0 / 50,1.253 / 1.550 / 31 / 31
30,2-22,1.383 / 1.739 / 57 / 57,0.989 / 1.412 / 34 / 34,-1.000 / -1.000 / 0 / 78,0.953 / 1.272 / 46 / 46
31,2-23,0.892 / 0.892 / 59 / 59,1.225 / 1.616 / 54 / 54,-1.000 / -1.000 / 0 / 70,1.532 / 1.647 / 55 / 55
