,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.188 / 1.343 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.015 / 2.863 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,4.267 / 4.975 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,1.755 / 2.284 / 99 / 99,-1.000 / -1.000 / 0 / 99,3.243 / 3.902 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,2.131 / 3.049 / 99 / 99,-1.000 / -1.000 / 0 / 99,3.663 / 4.230 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,2.201 / 2.820 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.647 / 3.475 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,1.344 / 1.401 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.109 / 4.130 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,1-6,2.837 / 3.582 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.486 / 3.510 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,1.953 / 1.959 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.093 / 2.323 / 99 / 99,-1.000 / -1.000 / 0 / 99
8,2-0,0.994 / 1.244 / 66 / 66,-1.000 / -1.000 / 0 / 38,1.122 / 1.122 / 58 / 58,-1.000 / -1.000 / 0 / 46
9,2-1,1.403 / 1.925 / 53 / 53,-1.000 / -1.000 / 0 / 60,1.178 / 1.441 / 48 / 48,-1.000 / -1.000 / 0 / 52
10,2-2,2.455 / 2.874 / 36 / 36,-1.000 / -1.000 / 0 / 51,1.541 / 1.541 / 46 / 46,-1.000 / -1.000 / 0 / 66
11,2-3,1.437 / 1.576 / 64 / 64,-1.000 / -1.000 / 0 / 46,1.856 / 2.008 / 39 / 39,-1.000 / -1.000 / 0 / 71
12,2-4,1.496 / 2.382 / 36 / 36,-1.000 / -1.000 / 0 / 45,2.798 / 3.341 / 77 / 77,-1.000 / -1.000 / 0 / 31
13,2-5,1.748 / 1.965 / 48 / 48,-1.000 / -1.000 / 0 / 47,1.857 / 2.144 / 49 / 49,-1.000 / -1.000 / 0 / 28
14,2-6,2.005 / 2.353 / 84 / 84,-1.000 / -1.000 / 0 / 28,1.037 / 1.189 / 15 / 15,-1.000 / -1.000 / 0 / 71
15,2-7,1.565 / 1.648 / 39 / 39,-1.000 / -1.000 / 0 / 66,0.896 / 0.896 / 53 / 53,-1.000 / -1.000 / 0 / 66
16,2-8,1.292 / 1.612 / 42 / 42,-1.000 / -1.000 / 0 / 24,1.836 / 2.442 / 49 / 49,-1.000 / -1.000 / 0 / 55
17,2-9,1.182 / 1.547 / 41 / 41,-1.000 / -1.000 / 0 / 32,1.582 / 1.786 / 46 / 46,-1.000 / -1.000 / 0 / 40
18,2-10,1.487 / 1.951 / 50 / 50,-1.000 / -1.000 / 0 / 44,1.156 / 1.156 / 59 / 59,-1.000 / -1.000 / 0 / 24
19,2-11,16.724 / 473.427 / 32 / 34,-1.000 / -1.000 / 0 / 28,1.513 / 1.618 / 17 / 24,-1.000 / -1.000 / 0 / 66
20,2-12,1.629 / 1.969 / 18 / 18,-1.000 / -1.000 / 0 / 31,0.941 / 1.437 / 47 / 47,-1.000 / -1.000 / 0 / 61
21,2-13,1.576 / 1.899 / 45 / 45,-1.000 / -1.000 / 0 / 38,0.972 / 1.071 / 43 / 43,-1.000 / -1.000 / 0 / 52
22,2-14,3.362 / 3.769 / 48 / 48,-1.000 / -1.000 / 0 / 41,1.452 / 1.751 / 32 / 32,-1.000 / -1.000 / 0 / 47
23,2-15,1.981 / 2.534 / 73 / 73,-1.000 / -1.000 / 0 / 25,1.720 / 2.628 / 61 / 61,-1.000 / -1.000 / 0 / 46
24,2-16,2.142 / 2.418 / 36 / 36,-1.000 / -1.000 / 0 / 32,1.766 / 2.046 / 57 / 57,-1.000 / -1.000 / 0 / 60
25,2-17,1.670 / 2.207 / 66 / 66,-1.000 / -1.000 / 0 / 56,1.332 / 1.906 / 54 / 54,-1.000 / -1.000 / 0 / 59
26,2-18,1.153 / 1.715 / 57 / 57,-1.000 / -1.000 / 0 / 36,1.682 / 2.180 / 46 / 46,-1.000 / -1.000 / 0 / 51
27,2-19,1.165 / 1.682 / 57 / 57,-1.000 / -1.000 / 0 / 49,1.474 / 1.701 / 45 / 45,-1.000 / -1.000 / 0 / 47
28,2-20,1.101 / 1.903 / 65 / 65,-1.000 / -1.000 / 0 / 46,3.686 / 4.266 / 57 / 57,-1.000 / -1.000 / 0 / 63
29,2-21,1.105 / 1.709 / 44 / 44,-1.000 / -1.000 / 0 / 41,2.968 / 3.615 / 35 / 35,-1.000 / -1.000 / 0 / 62
30,2-22,2.680 / 3.348 / 49 / 49,-1.000 / -1.000 / 0 / 51,3.191 / 3.798 / 68 / 68,-1.000 / -1.000 / 0 / 40
31,2-23,1.927 / 2.731 / 61 / 61,-1.000 / -1.000 / 0 / 61,1.647 / 2.924 / 77 / 77,-1.000 / -1.000 / 0 / 35
