,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,2.134 / 2.561 / 99 / 99,2.847 / 3.458 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.210 / 1.358 / 99 / 99,1.817 / 2.362 / 99 / 99,3.608 / 3.995 / 99 / 99,1.213 / 1.358 / 99 / 99
2,1-2,1.465 / 1.563 / 99 / 99,1.782 / 2.051 / 99 / 99,1.828 / 2.643 / 99 / 99,1.462 / 1.563 / 99 / 99
3,1-3,1.263 / 1.487 / 99 / 99,1.295 / 1.409 / 99 / 99,1.253 / 1.419 / 99 / 99,1.295 / 1.421 / 99 / 99
4,1-4,1.325 / 1.654 / 99 / 99,1.730 / 2.018 / 99 / 99,2.049 / 2.427 / 99 / 99,1.943 / 2.523 / 99 / 99
5,1-5,1.621 / 1.885 / 99 / 99,2.024 / 2.229 / 99 / 99,2.357 / 2.659 / 99 / 99,1.565 / 1.806 / 99 / 99
6,1-6,1.258 / 1.721 / 99 / 99,1.761 / 2.113 / 99 / 99,1.627 / 2.158 / 99 / 99,1.125 / 1.695 / 99 / 99
7,1-7,1.428 / 1.809 / 99 / 99,2.074 / 2.387 / 99 / 99,2.977 / 3.380 / 99 / 99,1.513 / 2.012 / 99 / 99
8,2-0,2.188 / 2.520 / 43 / 43,1.807 / 2.053 / 31 / 31,1.552 / 1.826 / 60 / 60,2.344 / 2.579 / 46 / 46
9,2-1,1.077 / 2.630 / 61 / 61,0.840 / 1.201 / 40 / 40,0.779 / 1.024 / 46 / 46,1.385 / 2.797 / 23 / 23
10,2-2,1.225 / 2.214 / 43 / 43,1.580 / 1.973 / 60 / 60,1.301 / 1.581 / 29 / 29,0.869 / 1.148 / 34 / 34
11,2-3,1.089 / 1.240 / 42 / 42,1.214 / 1.457 / 45 / 45,27.974 / 421.042 / 63 / 63,2.122 / 2.255 / 77 / 77
12,2-4,3.517 / 3.852 / 60 / 60,1.514 / 2.076 / 60 / 60,1.573 / 1.916 / 64 / 64,3.718 / 4.049 / 45 / 45
13,2-5,0.998 / 1.497 / 58 / 58,1.024 / 1.152 / 22 / 22,1.057 / 1.208 / 45 / 45,1.684 / 1.718 / 58 / 58
14,2-6,1.529 / 2.591 / 44 / 44,1.764 / 1.952 / 50 / 50,1.487 / 1.727 / 32 / 34,1.063 / 1.281 / 39 / 39
15,2-7,2.040 / 2.526 / 32 / 32,0.953 / 1.353 / 61 / 61,1.034 / 1.411 / 66 / 66,1.555 / 1.803 / 38 / 38
16,2-8,2.052 / 2.115 / 54 / 54,2.026 / 2.026 / 77 / 77,2.342 / 2.454 / 49 / 65,2.026 / 2.026 / 33 / 33
17,2-9,1.468 / 1.703 / 37 / 37,1.395 / 1.835 / 51 / 51,0.822 / 0.894 / 51 / 51,1.240 / 1.401 / 27 / 27
18,2-10,2.095 / 2.401 / 33 / 33,2.247 / 2.536 / 36 / 36,1.761 / 2.169 / 55 / 55,2.223 / 2.461 / 43 / 43
19,2-11,1.133 / 1.327 / 73 / 73,1.070 / 1.437 / 66 / 66,1.127 / 1.328 / 61 / 61,1.568 / 1.766 / 51 / 51
20,2-12,0.959 / 0.959 / 48 / 48,0.959 / 0.959 / 66 / 66,0.959 / 0.959 / 49 / 49,0.960 / 0.970 / 64 / 64
21,2-13,1.188 / 1.421 / 55 / 55,1.177 / 1.357 / 38 / 38,1.311 / 1.517 / 37 / 37,1.870 / 2.149 / 37 / 37
22,2-14,0.817 / 1.750 / 54 / 54,1.031 / 1.031 / 39 / 39,370.292 / 4395.661 / 56 / 56,1.185 / 1.677 / 36 / 36
23,2-15,1.741 / 2.347 / 52 / 52,1.716 / 2.545 / 63 / 63,1.690 / 2.204 / 49 / 49,1.951 / 2.308 / 81 / 81
24,2-16,1.204 / 1.768 / 80 / 80,1.379 / 1.659 / 46 / 46,2.145 / 2.608 / 61 / 61,2.882 / 3.135 / 16 / 16
25,2-17,0.979 / 1.185 / 30 / 30,1.168 / 1.476 / 57 / 57,1.945 / 2.302 / 34 / 34,1.072 / 1.377 / 51 / 51
26,2-18,1.262 / 1.455 / 43 / 43,1.263 / 1.534 / 74 / 74,1.172 / 1.409 / 52 / 52,0.976 / 1.255 / 32 / 32
27,2-19,1.009 / 1.318 / 48 / 48,1.197 / 1.617 / 52 / 52,1.685 / 1.792 / 42 / 42,1.384 / 1.384 / 25 / 25
28,2-20,0.959 / 1.308 / 44 / 44,1.706 / 2.071 / 53 / 53,2.155 / 3.015 / 46 / 46,0.835 / 1.308 / 45 / 45
29,2-21,1.247 / 1.744 / 62 / 62,1.358 / 1.565 / 49 / 49,1.368 / 1.781 / 45 / 45,1.827 / 2.171 / 77 / 77
30,2-22,0.951 / 1.646 / 53 / 53,1.047 / 1.316 / 53 / 53,1.025 / 1.316 / 64 / 64,0.926 / 1.301 / 29 / 29
31,2-23,1.087 / 1.349 / 30 / 30,1.052 / 1.330 / 33 / 33,1.761 / 2.130 / 61 / 61,1.074 / 1.313 / 70 / 70
