,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.084 / 1.084 /  9,1.295 / 1.295 /  9,1.295 / 1.295 /  9,1.065 / 1.084 /  9,1.056 / 1.084 /  9
1,1-1,1.446 / 1.446 /  9,1.477 / 1.723 /  9,1.882 / 1.882 /  9,1.446 / 1.446 /  9,1.469 / 1.651 /  9
2,1-2,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.163 / 1.735 /  9,1.245 / 1.735 /  9
3,2-0,0.893 / 0.893 /  5,0.893 / 0.893 /  9,0.893 / 0.893 /  6,0.893 / 0.893 /  6,0.893 / 0.893 /  8
4,2-1,1.165 / 1.165 /  6,1.165 / 1.165 /  8,1.191 / 1.424 / 10,1.233 / 1.571 /  6,1.289 / 1.649 /  6
5,2-2,0.898 / 0.898 /  7,0.955 / 1.354 /  8,1.100 / 1.100 /  7,0.898 / 0.898 /  8,0.953 / 1.281 /  7
